TransactionID,CardType,CardTier,AmountUSD,MerchantCategory,DeviceOS,CountryCode,CVV_Result,ThreeDSecureStatus,VelocityLastHour,RiskEngineScore,IsChargeback
CGW_0000001,DEBIT,CLASSIC,4088.16,5812_RESTAURANT,Linux_Firefox,AU,MATCH,SUCCESS_BIOMETRIC,8,0.60,0
CGW_0000002,PREPAID,PLATINUM,4370.12,5812_RESTAURANT,iOS,SG,MATCH,SUCCESS_OTP,4,0.45,0
CGW_0000003,PREPAID,INFINITE,1078.50,4829_MONEY_TRANSFER,MacOS_Safari,SG,MATCH,FAILED,4,0.47,0
CGW_0000004,PREPAID,GOLD,2993.24,4829_MONEY_TRANSFER,Windows_Chrome,DE,MATCH,FAILED,12,0.09,0
CGW_0000005,CREDIT,INFINITE,3923.87,7995_BETTING,Android,IN,MATCH,SUCCESS_OTP,6,0.37,1
CGW_0000006,PREPAID,GOLD,2542.03,5411_GROCERY,Android,DE,MATCH,BYPASSED,3,0.07,0
CGW_0000007,PREPAID,INFINITE,4034.39,4829_MONEY_TRANSFER,Linux_Firefox,GB,MISMATCH,BYPASSED,3,0.86,1
CGW_0000008,CREDIT,CLASSIC,4291.80,5411_GROCERY,iOS,CA,MISMATCH,SUCCESS_OTP,10,0.67,1
CGW_0000009,CORPORATE,CLASSIC,3566.09,4722_TRAVEL,Android,GB,MATCH,FAILED,3,0.97,1
CGW_0000010,DEBIT,GOLD,3980.72,4829_MONEY_TRANSFER,Windows_Chrome,IN,MATCH,BYPASSED,11,0.46,1
CGW_0000011,CREDIT,SIGNATURE,1264.12,5812_RESTAURANT,Android,AU,MATCH,FAILED,6,0.12,0
CGW_0000012,CREDIT,PLATINUM,1266.27,5411_GROCERY,Android,US,MISMATCH,FAILED,1,0.65,1
CGW_0000013,DEBIT,SIGNATURE,3559.87,4722_TRAVEL,MacOS_Safari,SG,MATCH,BYPASSED,6,0.03,1
CGW_0000014,CORPORATE,SIGNATURE,1806.58,4722_TRAVEL,iOS,SG,MATCH,SUCCESS_BIOMETRIC,2,0.15,0
CGW_0000015,PREPAID,PLATINUM,550.80,4829_MONEY_TRANSFER,iOS,SG,MATCH,SUCCESS_BIOMETRIC,9,0.14,0
CGW_0000016,PREPAID,CLASSIC,1354.43,4722_TRAVEL,Windows_Chrome,AE,MATCH,FAILED,5,0.21,0
CGW_0000017,DEBIT,GOLD,228.02,4722_TRAVEL,Windows_Chrome,AU,MISMATCH,SUCCESS_OTP,12,0.27,1
CGW_0000018,CREDIT,PLATINUM,3480.60,7995_BETTING,MacOS_Safari,US,MATCH,FAILED,11,0.92,1
CGW_0000019,DEBIT,SIGNATURE,2195.85,5411_GROCERY,iOS,AE,MATCH,SUCCESS_OTP,8,0.97,1
CGW_0000020,CREDIT,SIGNATURE,664.88,5411_GROCERY,MacOS_Safari,AE,MATCH,SUCCESS_BIOMETRIC,11,0.36,0
CGW_0000021,CREDIT,CLASSIC,4416.32,4722_TRAVEL,Android,GB,MATCH,SUCCESS_BIOMETRIC,4,0.45,1
CGW_0000022,DEBIT,CLASSIC,477.04,5411_GROCERY,Linux_Firefox,CA,MATCH,FAILED,2,0.90,1
CGW_0000023,CREDIT,GOLD,2020.34,4722_TRAVEL,Linux_Firefox,IN,MATCH,FAILED,12,0.75,0
CGW_0000024,CREDIT,GOLD,1300.61,5411_GROCERY,Linux_Firefox,IN,MATCH,BYPASSED,12,0.24,0
CGW_0000025,CORPORATE,INFINITE,685.63,4722_TRAVEL,Windows_Chrome,US,MATCH,BYPASSED,4,0.39,0
CGW_0000026,DEBIT,INFINITE,905.74,7995_BETTING,Android,GB,MISMATCH,FAILED,4,0.49,1
CGW_0000027,CREDIT,SIGNATURE,3403.75,5812_RESTAURANT,Android,US,MATCH,BYPASSED,7,0.53,1
CGW_0000028,PREPAID,PLATINUM,2669.01,5812_RESTAURANT,Linux_Firefox,AU,MATCH,SUCCESS_OTP,5,0.45,0
CGW_0000029,DEBIT,GOLD,2977.39,4829_MONEY_TRANSFER,Windows_Chrome,US,MISMATCH,SUCCESS_OTP,4,0.36,1
CGW_0000030,CORPORATE,GOLD,568.98,5411_GROCERY,MacOS_Safari,GB,MISMATCH,FAILED,12,0.27,1
CGW_0000031,PREPAID,PLATINUM,3842.25,5732_ELECTRONICS,Android,AU,MATCH,SUCCESS_BIOMETRIC,1,0.42,0
CGW_0000032,CREDIT,GOLD,3209.94,4722_TRAVEL,iOS,AU,MATCH,FAILED,3,0.62,0
CGW_0000033,CORPORATE,SIGNATURE,1095.47,4829_MONEY_TRANSFER,Android,IN,MISMATCH,SUCCESS_OTP,8,0.62,1
CGW_0000034,CREDIT,GOLD,3985.08,5812_RESTAURANT,MacOS_Safari,CA,MISMATCH,SUCCESS_BIOMETRIC,9,0.76,1
CGW_0000035,CORPORATE,PLATINUM,3330.71,4722_TRAVEL,Android,US,MATCH,SUCCESS_OTP,12,0.02,1
CGW_0000036,DEBIT,PLATINUM,2533.00,7995_BETTING,Windows_Chrome,SG,MATCH,SUCCESS_BIOMETRIC,9,0.15,1
CGW_0000037,CORPORATE,PLATINUM,541.53,4829_MONEY_TRANSFER,Android,AU,MATCH,SUCCESS_BIOMETRIC,3,0.15,0
CGW_0000038,CORPORATE,INFINITE,2166.93,5732_ELECTRONICS,iOS,CA,MATCH,BYPASSED,1,0.19,0
CGW_0000039,PREPAID,GOLD,173.40,5732_ELECTRONICS,Windows_Chrome,GB,MISMATCH,SUCCESS_BIOMETRIC,4,0.64,1
CGW_0000040,DEBIT,SIGNATURE,3478.26,5812_RESTAURANT,Linux_Firefox,CA,MISMATCH,BYPASSED,5,0.23,1
CGW_0000041,PREPAID,SIGNATURE,2326.03,5732_ELECTRONICS,MacOS_Safari,GB,MATCH,FAILED,7,0.12,0
CGW_0000042,PREPAID,PLATINUM,956.82,7995_BETTING,MacOS_Safari,SG,MATCH,SUCCESS_OTP,11,0.09,1
CGW_0000043,CREDIT,INFINITE,1367.86,5732_ELECTRONICS,Linux_Firefox,DE,MATCH,BYPASSED,11,0.61,0
CGW_0000044,DEBIT,PLATINUM,3550.64,4722_TRAVEL,Linux_Firefox,AE,MATCH,SUCCESS_BIOMETRIC,7,0.90,1
CGW_0000045,DEBIT,SIGNATURE,3581.73,4829_MONEY_TRANSFER,Linux_Firefox,GB,MATCH,BYPASSED,11,0.18,0
CGW_0000046,PREPAID,PLATINUM,3956.30,5411_GROCERY,Windows_Chrome,DE,MISMATCH,BYPASSED,1,0.70,1
CGW_0000047,CORPORATE,SIGNATURE,182.06,5812_RESTAURANT,iOS,CA,MATCH,SUCCESS_OTP,8,0.07,0
CGW_0000048,PREPAID,INFINITE,1007.76,5732_ELECTRONICS,Android,SG,MATCH,BYPASSED,10,0.27,0
CGW_0000049,DEBIT,GOLD,1608.29,5411_GROCERY,Linux_Firefox,GB,MISMATCH,BYPASSED,6,0.59,1
CGW_0000050,PREPAID,CLASSIC,3362.29,4722_TRAVEL,MacOS_Safari,SG,MISMATCH,SUCCESS_OTP,6,0.03,1
CGW_0000051,DEBIT,PLATINUM,3426.98,5411_GROCERY,Android,AE,MATCH,BYPASSED,1,0.54,1
CGW_0000052,DEBIT,PLATINUM,3163.66,5411_GROCERY,Linux_Firefox,AE,MISMATCH,SUCCESS_OTP,2,0.46,1
CGW_0000053,CORPORATE,INFINITE,1745.96,4722_TRAVEL,Windows_Chrome,DE,MATCH,SUCCESS_OTP,9,0.26,0
CGW_0000054,CREDIT,INFINITE,1887.25,5411_GROCERY,Android,SG,MISMATCH,SUCCESS_BIOMETRIC,9,0.12,1
CGW_0000055,PREPAID,PLATINUM,855.90,4829_MONEY_TRANSFER,MacOS_Safari,IN,MATCH,BYPASSED,11,0.34,0
CGW_0000056,CREDIT,PLATINUM,3383.97,4722_TRAVEL,Linux_Firefox,AE,MATCH,SUCCESS_BIOMETRIC,11,0.35,0
CGW_0000057,CORPORATE,GOLD,150.28,4829_MONEY_TRANSFER,Android,US,MATCH,SUCCESS_BIOMETRIC,2,0.20,0
CGW_0000058,DEBIT,INFINITE,1908.32,7995_BETTING,MacOS_Safari,CA,MATCH,SUCCESS_OTP,7,0.51,1
CGW_0000059,CORPORATE,PLATINUM,2993.10,4722_TRAVEL,Android,AE,MISMATCH,SUCCESS_OTP,11,0.19,1
CGW_0000060,DEBIT,INFINITE,4234.34,5411_GROCERY,Android,US,MATCH,BYPASSED,2,0.21,1
CGW_0000061,CREDIT,GOLD,2835.73,4722_TRAVEL,Linux_Firefox,SG,MISMATCH,FAILED,12,0.12,1
CGW_0000062,CREDIT,SIGNATURE,1093.91,5732_ELECTRONICS,Windows_Chrome,US,MISMATCH,SUCCESS_BIOMETRIC,10,0.93,1
