ApplicationID,ApplicantAge,EmploymentType,YearsOfExperience,MonthlyIncomeINR,RequestedLoanAmount,LoanTenureMonths,DebtToIncomeRatio,CIBIL_CreditScore,ExistingActiveLoansCount,LoanPurpose,HasCoApplicant,LoanDefaultRisk
APP_000001,36,SALARIED_GOVT,9.40,180224.79,1072564.87,48,0.54,785,5,VEHICLE_PURCHASE,NO,0
APP_000002,38,SELF_EMPLOYED_PROFESSIONAL,10.50,61057.17,70568.03,12,0.53,795,2,DEBT_CONSOLIDATION,NO,0
APP_000003,25,CONTRACTUAL,11.90,208739.63,1444648.96,84,0.53,785,5,HOME_RENOVATION,NO,0
APP_000004,53,SALARIED_GOVT,20.50,62383.01,430784.62,60,0.20,817,5,VEHICLE_PURCHASE,YES,0
APP_000005,29,SELF_EMPLOYED_PROFESSIONAL,15.40,159451.71,829739.75,120,0.32,682,1,VEHICLE_PURCHASE,YES,0
APP_000006,58,SALARIED_GOVT,19.00,113816.19,98647.22,120,0.69,836,2,DEBT_CONSOLIDATION,YES,1
APP_000007,43,BUSINESS_OWNER,9.50,103009.59,2104703.37,48,0.26,618,5,HOME_RENOVATION,NO,1
APP_000008,49,BUSINESS_OWNER,13.80,116800.66,87130.93,12,0.70,792,2,HOME_RENOVATION,NO,1
APP_000009,37,SALARIED_MNC,16.20,220421.85,90666.31,120,0.49,618,2,BUSINESS_EXPANSION,NO,1
APP_000010,54,SALARIED_GOVT,15.90,327977.90,2110710.43,12,0.62,598,3,EDUCATION,NO,1
APP_000011,51,SALARIED_GOVT,2.70,297027.97,1580980.42,24,0.13,580,2,MEDICAL_EMERGENCY,NO,1
APP_000012,24,CONTRACTUAL,9.70,323337.66,1426733.85,24,0.59,801,4,VEHICLE_PURCHASE,NO,1
APP_000013,33,SALARIED_MNC,3.00,290067.29,1927587.01,84,0.20,776,2,DEBT_CONSOLIDATION,NO,0
APP_000014,59,SALARIED_GOVT,6.90,240846.40,2109585.09,84,0.12,720,5,EDUCATION,YES,0
APP_000015,41,SALARIED_MNC,0.90,71365.83,1939030.88,60,0.21,633,4,VEHICLE_PURCHASE,NO,1
APP_000016,40,CONTRACTUAL,15.50,339636.07,1154505.08,120,0.72,690,5,DEBT_CONSOLIDATION,NO,1
APP_000017,56,SALARIED_GOVT,4.10,241883.12,1703505.82,84,0.20,662,2,MEDICAL_EMERGENCY,YES,0
APP_000018,38,SELF_EMPLOYED_PROFESSIONAL,22.20,128190.83,197787.36,12,0.12,732,3,BUSINESS_EXPANSION,NO,0
APP_000019,59,SALARIED_GOVT,10.30,194378.49,877331.82,84,0.47,812,2,VEHICLE_PURCHASE,NO,0
APP_000020,61,BUSINESS_OWNER,2.90,96017.81,1989440.13,120,0.48,721,0,MEDICAL_EMERGENCY,NO,0
APP_000021,36,CONTRACTUAL,3.80,60045.84,1821104.76,24,0.34,732,2,HOME_RENOVATION,YES,0
APP_000022,52,SELF_EMPLOYED_PROFESSIONAL,18.80,198257.23,2215203.45,12,0.17,716,3,BUSINESS_EXPANSION,YES,0
APP_000023,37,SALARIED_MNC,9.70,206343.58,697183.78,120,0.25,689,0,MEDICAL_EMERGENCY,YES,0
APP_000024,49,SALARIED_MNC,20.80,276021.11,577589.30,36,0.51,578,2,BUSINESS_EXPANSION,NO,1
APP_000025,44,SALARIED_MNC,19.50,32892.14,883627.44,84,0.27,658,1,VEHICLE_PURCHASE,YES,1
APP_000026,54,SELF_EMPLOYED_PROFESSIONAL,24.00,95917.09,500015.28,84,0.69,733,0,MEDICAL_EMERGENCY,NO,1
APP_000027,37,SALARIED_MNC,8.30,248881.25,1745405.48,12,0.34,781,5,VEHICLE_PURCHASE,YES,0
APP_000028,40,SELF_EMPLOYED_PROFESSIONAL,4.30,335802.76,270183.15,60,0.60,849,3,HOME_RENOVATION,NO,1
APP_000029,61,BUSINESS_OWNER,15.20,163607.65,2108836.02,120,0.59,704,5,MEDICAL_EMERGENCY,NO,1
