date,description,debit,credit,balance,isSuspicious
13-03-2023,NETTXN:EBAY,0,928023.85,9163047.96,1
26-05-2024,PCA:5001234567:1234567891234:LOCALSHOP,719687.04,0,208410.89,0
01-05-2024,NETTXN:TICKETBOOKINGAIRINDIA,0,37460.59,1163580.15,0
22-04-2024,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,758688.3,0,1600684.22,0
26-04-2023,NETTXN:DARVEYS,25546.1,0,27162.22,0
26-03-2023,NETTXN:TICKETBOOKINGYATRA,163634.19,0,863794.97,0
20-08-2024,CRYPTOEXCHANGEBINANCE,482512.93,0,611333.82,1
11-08-2023,REFUNDOF:ZOMATO,76818.63,0,9727901.27,0
26-03-2023,NETTXN:farfetch,664467.88,0,185895.77,1
26-03-2023,NETTXN:TICKETBOOKINGAIRINDIA,0,489142.72,860357.23,1
27-03-2023,NETTXN:AMAZON,0,188627.39,2009417.61,0
03-03-2023,NETTXN:AJIOLUXE,0,477368.98,1969079.13,1
04-03-2023,CRYPTOEXCHANGEWAZIRX,0,113502.44,205386.3,0
09-03-2023,NETTXN:TICKETBOOKINGINDIGO,0,340864.81,898995.69,1
04-03-2023,NETTXN:AMAZON,719463.11,0,1300498.42,1
02-04-2023,EMItowardsLoanNo00234567,0,34288.27,5447033.74,0
11-08-2023,CRYPTOEXCHANGEBINANCE,0,378970.52,623238.65,1
26-03-2023,NETTXN:AMAZON,0,515908.01,1396167.93,1
06-04-2023,NETTXN:TICKETBOOKINGAIRINDIA,404594.65,0,4475839.98,1
04-08-2024,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,410013.86,0,737647.02,0
23-07-2024,FundsTransfertoXX8765/CC001002010123456/MOBTXN,0,554110.78,1291757.8,0
07-07-2024,NETTXN:TICKETBOOKINGMAKEMYTRIP,0,395136.83,693005.97,1
23-07-2024,NETTXN:CASHDEPOSIT,0,384365.25,9287022.9,0
01-01-2024,CRYPTOEXCHANGEBINANCE,100317.13,0,2428122.97,0
06-01-2024,PCA:5001234567:765432109876543:ZOMATO,846509.39,0,4046853.77,0
09-08-2024,NETTXN:TICKETBOOKINGYATRA,429501.16,0,1634469.09,1
29-06-2024,CRYPTOEXCHANGEWAZIRX,28887.6,0,10006745.02,0
08-09-2024,NETTXN:CASHDEPOSIT,0,1797879.12,11710876.12,0
26-02-2023,NETTXN:TICKETBOOKINGYATRA,0,742367.42,1082363.88,1
04-03-2023,NETTXN:farfetch,0,338698.16,1441304.95,1
