transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-100000,CUST-1287,56,Savings,Withdrawal,Entertainment,61.48,10304.98,10243.5,11,Toronto,ATM,Wire Transfer,0,0
TXN-100001,CUST-1104,69,Savings,Transfer,Travel,27.95,24770.95,24743.0,18,Singapore,ATM,Debit Card,0,0
TXN-100002,CUST-1468,46,Business,Deposit,Utilities,41.08,11859.8,11900.88,14,London,ATM,Debit Card,0,0
TXN-100003,CUST-1024,32,Business,Transfer,Utilities,21.73,13890.52,13868.79,13,London,Mobile App,Credit Card,0,0
TXN-100004,CUST-1052,60,Savings,Payment,Retail,177.36,13291.4,13114.04,15,New York,Web Browser,Wire Transfer,1,0
TXN-100005,CUST-1246,25,Business,Payment,Utilities,167.14,8111.25,7944.11,13,Singapore,Mobile App,Debit Card,0,0
TXN-100006,CUST-1336,38,Checking,Payment,Electronics,456.19,1968.05,1511.86,2,Singapore,ATM,UPI / Wallet,1,0
TXN-100007,CUST-1280,56,Credit,Transfer,Travel,201.22,22401.72,22200.5,17,Mumbai,Web Browser,UPI / Wallet,0,0
TXN-100008,CUST-1032,36,Checking,Deposit,Retail,13.02,20086.63,20099.65,21,Berlin,POS Terminal,Credit Card,0,0
TXN-100009,CUST-1286,40,Checking,Transfer,Utilities,328.44,3574.22,3245.78,5,New York,Mobile App,UPI / Wallet,0,0
TXN-100010,CUST-1035,28,Checking,Payment,Travel,302.81,19441.53,19138.72,16,London,Web Browser,UPI / Wallet,0,0
TXN-100011,CUST-1342,28,Checking,Transfer,Groceries,92.86,15683.58,15590.72,22,Toronto,POS Terminal,UPI / Wallet,0,0
TXN-100012,CUST-1378,41,Savings,Transfer,Utilities,137.23,10287.68,10150.45,13,London,POS Terminal,Debit Card,1,0
TXN-100013,CUST-1238,70,Savings,Payment,Entertainment,564.95,6425.13,5860.18,13,Tokyo,ATM,Wire Transfer,1,1
TXN-100014,CUST-1491,53,Savings,Payment,Travel,118.99,21507.25,21388.26,19,Berlin,POS Terminal,Credit Card,1,0
