PaymentID,CardNetwork,CardType,TransactionAmount_USD,MerchantCategory,CardholderCountry,MerchantCountry,CVV_Match,ThreeDSecure_Status,DeviceType,UserAccountAge_Days,IsChargeback
PAY_000001,American Express,Debit,104.51,Digital_Gaming,AU,AU,Match,Authenticated_Success,Desktop_Windows,2319,0
PAY_000002,Mastercard,Debit,50.73,Electronics,US,US,Match,Authenticated_Success,Mobile_iOS,2245,0
PAY_000003,American Express,Credit,162.98,Digital_Gaming,GB,GB,Match,Authenticated_Success,Mobile_iOS,3069,0
PAY_000004,Mastercard,Debit,2037.12,Electronics,US,GB,Match,Authenticated_Success,Desktop_Windows,192,0
PAY_000005,Visa,Credit,46.55,Electronics,US,US,NotProvided,Attempted_NoAuth,Mobile_Android,824,1
PAY_000006,RuPay,Debit,98.46,Digital_Gaming,DE,DE,Match,Authenticated_Success,Desktop_Windows,1566,0
PAY_000007,Mastercard,Debit,182.72,Luxury_Goods,US,US,Match,Authenticated_Success,Mobile_iOS,3211,0
PAY_000008,American Express,Credit,1285.07,Food_Beverage,GB,JP,Match,Authenticated_Success,Mobile_iOS,868,0
PAY_000009,Visa,Credit,1043.04,Travel_Airlines,DE,DE,Match,Exempt_LowRisk,Mobile_Android,3548,0
PAY_000010,Mastercard,Debit,90.95,Food_Beverage,US,US,Match,Exempt_LowRisk,Mobile_iOS,3490,0
PAY_000011,Visa,Credit,69.11,Travel_Airlines,GB,JP,Match,Authenticated_Success,Mobile_iOS,347,1
PAY_000012,Discover,Corporate,90.16,Travel_Airlines,DE,DE,Match,Authenticated_Success,Mobile_iOS,1326,0
PAY_000013,Mastercard,Debit,424.33,Electronics,AU,AE,Match,Exempt_LowRisk,Mobile_iOS,945,0
PAY_000014,American Express,Debit,96.84,Luxury_Goods,US,US,Match,Authenticated_Success,Desktop_Windows,1786,0
PAY_000015,Mastercard,Credit,43.18,Electronics,JP,JP,Match,Authenticated_Success,Mobile_iOS,3373,0
