age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
33,Savings,Deposit,Electronics,1.15,16992.03,16990.88,1,Toronto,Mobile App,Credit Card,0,0,TXN_100001,CUST_10001
56,Checking,Withdrawal,Travel,158.94,11003.4,10844.46,4,Mumbai,POS Terminal,Credit Card,0,0,TXN_100002,CUST_10002
78,Savings,Transfer,Travel,32.67,14488.65,14455.98,16,New York,Web Browser,UPI / Wallet,0,0,TXN_100003,CUST_10003
79,Savings,Transfer,Entertainment,121.55,1736.64,1615.09,1,Singapore,Mobile App,Credit Card,0,0,TXN_100004,CUST_10004
51,Credit,Withdrawal,Groceries,117.15,19329.76,19212.61,3,Berlin,ATM,Wire Transfer,0,0,TXN_100005,CUST_10005
74,Checking,Transfer,Entertainment,51.33,28312.35,28261.02,3,New York,POS Terminal,Credit Card,0,0,TXN_100006,CUST_10006
47,Business,Payment,Utilities,69.66,21266.52,21196.86,12,London,Mobile App,Wire Transfer,0,0,TXN_100007,CUST_10007
39,Checking,Deposit,Utilities,24.86,22818.91,22794.05,6,London,Web Browser,Credit Card,0,0,TXN_100008,CUST_10008
79,Business,Transfer,Electronics,20.72,17584.06,17563.34,22,Berlin,Web Browser,Credit Card,0,0,TXN_100009,CUST_10009
73,Business,Transfer,Electronics,57.75,26788.49,26730.74,14,London,ATM,Debit Card,0,1,TXN_100010,CUST_10010
35,Savings,Payment,Groceries,6.76,7146.8,7140.04,16,New York,Mobile App,Credit Card,0,0,TXN_100011,CUST_10011
37,Savings,Transfer,Electronics,17.76,21861.3,21843.54,23,Mumbai,Web Browser,Credit Card,0,0,TXN_100012,CUST_10012
60,Savings,Payment,Electronics,11.71,12916.36,12904.65,21,Berlin,Mobile App,Credit Card,0,0,TXN_100013,CUST_10013
64,Checking,Payment,Electronics,122.24,23513.43,23391.19,1,New York,Web Browser,UPI / Wallet,0,0,TXN_100014,CUST_10014
74,Checking,Payment,Retail,94.65,22195.0,22100.35,0,Toronto,POS Terminal,Wire Transfer,0,0,TXN_100015,CUST_10015
32,Checking,Payment,Entertainment,30.96,16959.76,16928.8,4,London,Web Browser,Debit Card,1,0,TXN_100016,CUST_10016
70,Checking,Transfer,Entertainment,4.36,18319.6,18315.24,19,London,ATM,Credit Card,0,1,TXN_100017,CUST_10017
74,Checking,Deposit,Retail,27.78,21753.58,21725.8,5,New York,ATM,Debit Card,0,0,TXN_100018,CUST_10018
25,Checking,Withdrawal,Electronics,39.83,27585.24,27545.41,6,Mumbai,POS Terminal,UPI / Wallet,0,0,TXN_100019,CUST_10019
56,Business,Payment,Electronics,12.12,13468.23,13456.11,5,Berlin,Mobile App,Wire Transfer,0,0,TXN_100020,CUST_10020
49,Credit,Transfer,Utilities,28.83,21172.79,21143.96,15,Tokyo,ATM,UPI / Wallet,0,1,TXN_100021,CUST_10021
41,Savings,Deposit,Electronics,109.05,15126.67,15017.62,8,Toronto,Mobile App,Wire Transfer,1,0,TXN_100022,CUST_10022
67,Savings,Transfer,Travel,22.45,14476.08,14453.63,2,Toronto,Mobile App,Debit Card,0,1,TXN_100023,CUST_10023
30,Savings,Transfer,Electronics,57.0,24415.63,24358.63,5,Mumbai,Mobile App,Wire Transfer,1,0,TXN_100024,CUST_10024
26,Checking,Payment,Travel,18.86,5535.19,5516.33,11,Singapore,Web Browser,Debit Card,0,0,TXN_100025,CUST_10025
52,Credit,Transfer,Entertainment,32.8,25302.3,25269.5,0,New York,Mobile App,UPI / Wallet,0,0,TXN_100026,CUST_10026
36,Savings,Withdrawal,Retail,79.43,23406.48,23327.05,22,Mumbai,POS Terminal,UPI / Wallet,0,0,TXN_100027,CUST_10027
38,Savings,Transfer,Travel,6.14,21243.02,21386.88,11,Tokyo,Web Browser,UPI / Wallet,0,0,TXN_100028,CUST_10028
62,Savings,Deposit,Electronics,6.87,14776.29,14769.42,16,Berlin,Web Browser,UPI / Wallet,0,0,TXN_100029,CUST_10029
77,Savings,Deposit,Entertainment,244.53,7371.43,7126.9,21,Berlin,Web Browser,Debit Card,0,1,TXN_100030,CUST_10030
37,Savings,Payment,Entertainment,20.14,19675.12,19654.98,5,London,ATM,UPI / Wallet,0,0,TXN_100031,CUST_10031
43,Credit,Withdrawal,Groceries,40.76,22426.47,22385.71,8,London,Mobile App,Credit Card,0,0,TXN_100032,CUST_10032
65,Credit,Withdrawal,Groceries,0.01,13738.81,13738.8,13,London,ATM,Wire Transfer,0,0,TXN_100033,CUST_10033
40,Savings,Transfer,Entertainment,7.44,14845.27,14837.83,0,Mumbai,POS Terminal,UPI / Wallet,0,0,TXN_100034,CUST_10034
52,Checking,Transfer,Retail,2.48,2723.87,2721.39,18,Mumbai,Web Browser,Wire Transfer,0,1,TXN_100035,CUST_10035
40,Savings,Payment,Groceries,44.79,3024.1,2979.31,6,Berlin,Web Browser,Credit Card,0,0,TXN_100036,CUST_10036
41,Savings,Deposit,Electronics,2.12,22190.15,22188.03,21,Berlin,Web Browser,Credit Card,0,0,TXN_100037,CUST_10037
63,Savings,Deposit,Groceries,31.16,14358.16,14327.0,18,Toronto,POS Terminal,Wire Transfer,0,0,TXN_100038,CUST_10038
77,Checking,Payment,Utilities,34.01,3259.47,3225.46,0,Toronto,POS Terminal,Debit Card,1,0,TXN_100039,CUST_10039
32,Savings,Payment,Electronics,21.33,14324.72,14303.39,13,London,Mobile App,UPI / Wallet,1,0,TXN_100040,CUST_10040
77,Checking,Deposit,Utilities,10.32,24372.15,24361.83,8,London,Web Browser,Debit Card,1,0,TXN_100041,CUST_10041
46,Credit,Withdrawal,Travel,21.52,5145.2,5123.68,21,Singapore,ATM,Debit Card,0,1,TXN_100042,CUST_10042
29,Checking,Withdrawal,Entertainment,19.14,14911.43,14892.29,22,London,ATM,UPI / Wallet,0,0,TXN_100043,CUST_10043
65,Savings,Transfer,Travel,417.7,24383.81,23966.11,3,Singapore,Web Browser,Debit Card,0,0,TXN_100044,CUST_10044
61,Savings,Transfer,Retail,11.49,23064.95,23053.46,5,Mumbai,Mobile App,Debit Card,0,0,TXN_100045,CUST_10045
72,Savings,Transfer,Utilities,26.07,5450.12,5424.05,14,New York,ATM,Wire Transfer,0,0,TXN_100046,CUST_10046
72,Checking,Payment,Groceries,13.02,7281.96,7268.94,6,London,Web Browser,Credit Card,0,0,TXN_100047,CUST_10047
65,Checking,Payment,Utilities,43.94,6101.48,6057.54,0,Singapore,Mobile App,Credit Card,1,0,TXN_100048,CUST_10048
67,Credit,Withdrawal,Travel,21.0,19838.73,19817.73,14,London,ATM,Credit Card,0,1,TXN_100049,CUST_10049
58,Checking,Transfer,Travel,14.3,4671.77,4657.47,9,London,Mobile App,UPI / Wallet,0,0,TXN_100050,CUST_10050
35,Checking,Transfer,Travel,23.18,20519.64,20496.46,15,Mumbai,POS Terminal,Credit Card,0,0,TXN_100051,CUST_10051
53,Credit,Payment,Travel,153.62,10607.09,10603.47,14,Tokyo,Mobile App,Wire Transfer,0,0,TXN_100052,CUST_10052
63,Credit,Deposit,Electronics,1.54,7901.09,7899.55,13,New York,ATM,Credit Card,0,0,TXN_100053,CUST_10053
74,Checking,Transfer,Utilities,34.28,14983.65,14949.37,18,Mumbai,Web Browser,Credit Card,0,0,TXN_100054,CUST_10054
70,Business,Transfer,Entertainment,4.6,9992.56,9987.96,0,Singapore,Mobile App,Credit Card,0,0,TXN_100055,CUST_10055
44,Checking,Payment,Electronics,40.28,5667.19,5626.91,14,London,POS Terminal,Debit Card,1,0,TXN_100056,CUST_10056
75,Business,Transfer,Retail,8.98,6092.94,6083.96,12,Singapore,ATM,UPI / Wallet,0,0,TXN_100057,CUST_10057
74,Savings,Payment,Travel,3.18,23924.32,23921.14,20,New York,ATM,Wire Transfer,0,0,TXN_100058,CUST_10058
61,Checking,Payment,Entertainment,157.35,20895.48,20738.13,11,Singapore,ATM,Credit Card,0,0,TXN_100059,CUST_10059
33,Business,Transfer,Travel,103.34,17686.03,17582.69,8,New York,Web Browser,UPI / Wallet,0,0,TXN_100060,CUST_10060
37,Credit,Payment,Groceries,17.92,11980.01,11962.09,18,Berlin,POS Terminal,Debit Card,0,0,TXN_100061,CUST_10061
31,Savings,Payment,Electronics,143.85,22517.47,22373.62,10,Singapore,Mobile App,Wire Transfer,0,0,TXN_100062,CUST_10062
53,Checking,Transfer,Entertainment,45.23,16610.49,16565.26,23,Mumbai,Web Browser,Credit Card,1,0,TXN_100063,CUST_10063
61,Checking,Deposit,Retail,180.31,2822.64,2642.33,22,London,POS Terminal,Wire Transfer,0,0,TXN_100064,CUST_10064
56,Savings,Payment,Retail,20.87,22642.54,22621.67,15,Berlin,POS Terminal,Credit Card,0,1,TXN_100065,CUST_10065
26,Checking,Payment,Entertainment,27.68,4140.35,4112.67,15,Singapore,POS Terminal,Credit Card,0,0,TXN_100066,CUST_10066
56,Savings,Deposit,Electronics,9.09,14175.85,14166.76,17,Berlin,Web Browser,Debit Card,0,0,TXN_100067,CUST_10067
24,Checking,Transfer,Groceries,5.14,18462.62,18457.48,15,Mumbai,Mobile App,Wire Transfer,0,1,TXN_100068,CUST_10068
73,Checking,Deposit,Travel,3.55,3860.7,4007.15,11,New York,POS Terminal,Credit Card,0,0,TXN_100069,CUST_10069
65,Credit,Payment,Travel,268.84,19959.01,19690.17,12,Singapore,POS Terminal,Debit Card,1,0,TXN_100070,CUST_10070
78,Checking,Transfer,Utilities,48.13,15448.36,15400.23,14,Singapore,POS Terminal,Wire Transfer,0,0,TXN_100071,CUST_10071
23,Savings,Transfer,Travel,66.33,18076.74,18010.41,19,New York,Mobile App,Wire Transfer,1,0,TXN_100072,CUST_10072
37,Checking,Payment,Groceries,49.59,17356.82,17307.23,23,Singapore,Mobile App,Credit Card,0,0,TXN_100073,CUST_10073
