PaymentID,CardNetwork,CardType,TransactionAmount_USD,MerchantCategory,CardholderCountry,MerchantCountry,CVV_Match,ThreeDSecure_Status,DeviceType,UserAccountAge_Days,IsChargeback
PAY_002178,Visa,Corporate,225.37,Digital_Gaming,SG,US,Match,Authenticated_Success,Mobile_iOS,1038,0
PAY_000021,Visa,Corporate,6.51,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_iOS,99,0
PAY_002923,Visa,Corporate,114.75,Electronics,JP,SG,Match,Authenticated_Success,Tablet,2631,0
PAY_001723,RuPay,Corporate,776.89,Luxury_Goods,SG,SG,Match,Authenticated_Success,Mobile_iOS,2966,0
PAY_000046,Visa,Corporate,17.75,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_iOS,291,0
PAY_002072,RuPay,Corporate,306.08,Subscription,US,US,Match,Attempted_NoAuth,Mobile_iOS,1718,0
PAY_001271,RuPay,Corporate,27.19,Travel_Airlines,US,US,Match,Attempted_NoAuth,Tablet,284,0
PAY_000774,Visa,Corporate,123.00,Electronics,US,US,Match,Authenticated_Success,Mobile_Android,1031,0
PAY_002893,Visa,Corporate,5.18,Travel_Airlines,AE,AU,Match,Exempt_LowRisk,Tablet,3029,0
PAY_002917,Visa,Corporate,51.34,Luxury_Goods,CA,GB,Match,Exempt_LowRisk,Mobile_iOS,3243,0
PAY_002928,Visa,Corporate,28.51,Apparel,SG,SG,Match,Exempt_LowRisk,Tablet,2268,0
PAY_000338,Visa,Corporate,27.18,Subscription,SG,US,Match,Authenticated_Success,Desktop_macOS,335,0
PAY_000448,Visa,Credit,145.10,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_Android,341,0
PAY_001703,RuPay,Corporate,472.94,Electronics,US,US,Match,Attempted_NoAuth,Mobile_Android,1737,0
PAY_002963,Visa,Corporate,16.71,Digital_Gaming,GB,SG,Match,Exempt_LowRisk,Mobile_iOS,2393,0
PAY_002516,Visa,Corporate,6.07,Food_Beverage,US,US,Match,Attempted_NoAuth,Mobile_Android,212,0
PAY_000557,Visa,Credit,439.70,Travel_Airlines,FR,JP,Match,Authenticated_Success,Mobile_Android,1807,0
PAY_000271,Visa,Corporate,33.59,Subscription,US,US,Match,Attempted_NoAuth,Mobile_iOS,404,0
PAY_001100,Visa,Corporate,26.04,Food_Beverage,US,US,Match,Attempted_NoAuth,Tablet,256,0
PAY_001041,RuPay,Corporate,780.51,Travel_Airlines,SG,SG,Match,Attempted_NoAuth,Mobile_iOS,1941,0
PAY_000760,RuPay,Credit,1093.03,Subscription,JP,JP,Match,Authenticated_Success,Mobile_Android,1553,0
PAY_000672,Visa,Corporate,674.61,Luxury_Goods,GB,JP,Match,Exempt_LowRisk,Mobile_Android,1669,0
PAY_000420,RuPay,Corporate,80.29,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_iOS,661,0
PAY_001533,Visa,Credit,138.83,Travel_Airlines,AU,DE,Match,Authenticated_Success,Mobile_iOS,2723,0
PAY_002920,Visa,Corporate,32.52,Travel_Airlines,AE,CA,Match,Exempt_LowRisk,Tablet,2963,0
PAY_001225,Visa,Corporate,49.56,Subscription,SG,US,Match,Authenticated_Success,Mobile_Android,503,0
PAY_000710,Visa,Corporate,74.89,Travel_Airlines,IN,JP,Match,Attempted_NoAuth,Tablet,1185,0
PAY_002781,RuPay,Corporate,196.67,Digital_Gaming,SG,SG,Match,Authenticated_Success,Tablet,1787,0
PAY_002948,Visa,Corporate,7.67,Apparel,IN,SG,Match,Exempt_LowRisk,Tablet,2134,0
PAY_001626,RuPay,Corporate,1716.47,Food_Beverage,IN,JP,Match,Exempt_LowRisk,Mobile_Android,2211,0
PAY_000105,Visa,Corporate,27.81,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_Android,257,0
PAY_002767,Visa,Corporate,152.79,Food_Beverage,FR,IN,Match,Exempt_LowRisk,Mobile_iOS,2314,0
PAY_000028,Visa,Corporate,18.51,Travel_Airlines,US,US,Match,Attempted_NoAuth,Desktop_macOS,261,0
PAY_001442,RuPay,Corporate,939.22,Subscription,JP,JP,Match,Authenticated_Success,Mobile_iOS,2109,0
PAY_002926,Visa,Corporate,20.45,Travel_Airlines,AE,AU,Match,Authenticated_Success,Tablet,3060,0
PAY_000982,RuPay,Corporate,1049.33,Travel_Airlines,SG,SG,Match,Attempted_NoAuth,Mobile_iOS,2700,0
PAY_000021,Visa,Corporate,9.19,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_Android,82,0
PAY_001175,RuPay,Corporate,830.09,Electronics,SG,SG,Match,Authenticated_Success,Mobile_Android,2175,0
PAY_001399,Mastercard,Credit,1756.68,Subscription,GB,IN,Mismatch,Authenticated_Success,Mobile_iOS,2089,0
PAY_000168,Visa,Corporate,14.63,Subscription,US,US,Match,Attempted_NoAuth,Tablet,155,0
PAY_002983,Visa,Corporate,6.61,Apparel,SG,SG,Match,Exempt_LowRisk,Tablet,1532,0
PAY_001978,Visa,Credit,648.86,Travel_Airlines,DE,IN,Match,Authenticated_Success,Mobile_Android,3007,0
PAY_002197,Visa,Corporate,5.78,Electronics,US,US,Match,Attempted_NoAuth,Tablet,91,0
PAY_002818,Visa,Corporate,102.38,Food_Beverage,DE,IN,Match,Exempt_LowRisk,Mobile_iOS,1416,0
PAY_001775,RuPay,Credit,1273.10,Travel_Airlines,GB,IN,Match,Authenticated_Success,Mobile_iOS,2981,0
PAY_001058,RuPay,Corporate,850.01,Travel_Airlines,DE,GB,Match,Authenticated_Success,Mobile_iOS,2691,0
PAY_000076,Visa,Corporate,14.23,Travel_Airlines,US,US,Match,Attempted_NoAuth,Tablet,165,0
PAY_000171,Visa,Corporate,117.08,Subscription,US,US,Match,Attempted_NoAuth,Mobile_Android,760,0
PAY_002673,Visa,Corporate,73.06,Food_Beverage,SG,SG,Match,Authenticated_Success,Tablet,956,0
PAY_002845,Visa,Corporate,49.79,Travel_Airlines,AU,FR,Match,Attempted_NoAuth,Mobile_iOS,3279,0
PAY_001346,RuPay,Corporate,1111.88,Travel_Airlines,IN,JP,Match,Attempted_NoAuth,Mobile_iOS,2391,0
PAY_002944,Visa,Corporate,20.38,Travel_Airlines,AE,AU,Match,Exempt_LowRisk,Tablet,3606,0
PAY_000124,RuPay,Corporate,28.28,Travel_Airlines,US,US,Match,Attempted_NoAuth,Tablet,240,0
PAY_000452,Visa,Corporate,28.05,Food_Beverage,US,US,Match,Attempted_NoAuth,Mobile_Android,507,0
PAY_002235,Visa,Credit,141.90,Travel_Airlines,JP,SG,Match,Attempted_NoAuth,Mobile_iOS,1824,0
PAY_002531,RuPay,Corporate,1029.63,Luxury_Goods,JP,SG,Match,Attempted_NoAuth,Mobile_iOS,2831,0
PAY_002991,Visa,Corporate,4.41,Apparel,SG,US,Match,Exempt_LowRisk,Tablet,1996,0
PAY_000551,RuPay,Corporate,470.01,Travel_Airlines,SG,SG,Match,Authenticated_Success,Mobile_iOS,1037,0
PAY_000854,Visa,Corporate,66.03,Electronics,US,US,Match,Attempted_NoAuth,Mobile_iOS,939,0
PAY_001696,Mastercard,Corporate,533.18,Subscription,US,SG,Match,Attempted_NoAuth,Mobile_iOS,1988,0
PAY_002993,Visa,Corporate,4.06,Apparel,DE,JP,Match,Exempt_LowRisk,Tablet,3168,0
PAY_002582,Visa,Corporate,53.49,Digital_Gaming,JP,SG,Match,Exempt_LowRisk,Tablet,848,0
PAY_000273,Visa,Corporate,77.39,Travel_Airlines,US,US,Match,Attempted_NoAuth,Mobile_Android,452,0
