age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
26,Business,Deposit,Entertainment,6.89,8377.85,8370.9599609375,23,Toronto,Mobile App,Wire Transfer,0,0,TXN_100001,CUST_10001
56,Savings,Deposit,Electronics,85.83,1516.56,1430.72998046875,18,Tokyo,POS Terminal,UPI / Wallet,0,0,TXN_100002,CUST_10002
51,Credit,Deposit,Retail,181.24,10716.88,10535.6396484375,13,Singapore,POS Terminal,UPI / Wallet,1,0,TXN_100003,CUST_10003
74,Savings,Deposit,Electronics,110.8,1282.5,1171.699951171875,20,Mumbai,Web Browser,Debit Card,0,0,TXN_100004,CUST_10004
40,Credit,Payment,Utilities,21.63,5186.83,5165.2001953125,2,Mumbai,Web Browser,Credit Card,1,0,TXN_100005,CUST_10005
30,Credit,Transfer,Utilities,21.49,4790.1,4768.60986328125,2,London,Web Browser,Credit Card,1,0,TXN_100006,CUST_10006
72,Savings,Deposit,Retail,108.37,10445.13,10336.759765625,12,Mumbai,Web Browser,Credit Card,1,0,TXN_100007,CUST_10007
38,Checking,Transfer,Travel,14.2,10925.85,10911.650390625,20,New York,Mobile App,Credit Card,0,0,TXN_100008,CUST_10008
69,Credit,Deposit,Travel,75.34,16816.81,16741.470703125,21,Tokyo,Mobile App,Debit Card,1,0,TXN_100009,CUST_10009
23,Credit,Transfer,Travel,16.39,4750.46,4734.06982421875,14,Tokyo,Mobile App,UPI / Wallet,0,0,TXN_100010,CUST_10010
42,Savings,Deposit,Entertainment,71.58,5263.28,5191.7001953125,6,Tokyo,POS Terminal,Wire Transfer,1,0,TXN_100011,CUST_10011
30,Checking,Deposit,Groceries,60.01,9530.69,9470.6796875,16,Tokyo,POS Terminal,UPI / Wallet,0,0,TXN_100012,CUST_10012
66,Savings,Deposit,Electronics,83.87,2719.94,2636.070068359375,17,Tokyo,Web Browser,UPI / Wallet,0,0,TXN_100013,CUST_10013
39,Credit,Payment,Retail,108.74,5161.48,5052.740234375,12,Tokyo,Mobile App,UPI / Wallet,0,0,TXN_100014,CUST_10014
55,Savings,Deposit,Groceries,130.38,6006.64,5876.259765625,12,Tokyo,Mobile App,UPI / Wallet,0,0,TXN_100015,CUST_10015
73,Credit,Deposit,Entertainment,110.6,9232.46,9121.8603515625,21,New York,POS Terminal,Debit Card,0,0,TXN_100016,CUST_10016
63,Checking,Deposit,Electronics,17.97,4826.02,4808.0498046875,23,Toronto,Mobile App,UPI / Wallet,0,0,TXN_100017,CUST_10017
54,Savings,Deposit,Electronics,53.21,854.93,801.719970703125,17,Singapore,Web Browser,UPI / Wallet,0,0,TXN_100018,CUST_10018
63,Credit,Transfer,Utilities,19.19,5491.49,5472.2998046875,21,Toronto,ATM,Credit Card,0,0,TXN_100019,CUST_10019
41,Savings,Deposit,Entertainment,87.85,6848.04,6760.18994140625,11,Tokyo,POS Terminal,Wire Transfer,0,0,TXN_100020,CUST_10020
54,Credit,Deposit,Retail,210.23,12737.48,12527.25,13,New York,POS Terminal,Debit Card,1,0,TXN_100021,CUST_10021
64,Credit,Deposit,Retail,169.98,11221.47,11051.490234375,18,Tokyo,Mobile App,Debit Card,0,0,TXN_100022,CUST_10022
40,Credit,Deposit,Groceries,147.26,11379.48,11232.2197265625,8,New York,Web Browser,UPI / Wallet,1,0,TXN_100023,CUST_10023
33,Savings,Deposit,Electronics,16.54,1122.17,1105.6300048828125,18,Toronto,Web Browser,Wire Transfer,0,0,TXN_100024,CUST_10024
46,Credit,Deposit,Retail,105.12,7177.65,7072.52978515625,4,Singapore,Web Browser,UPI / Wallet,1,0,TXN_100025,CUST_10025
39,Checking,Payment,Entertainment,78.42,11725.95,11647.5302734375,18,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100026,CUST_10026
67,Savings,Deposit,Entertainment,194.92,10085.59,9890.669921875,7,New York,Web Browser,UPI / Wallet,1,0,TXN_100027,CUST_10027
19,Checking,Withdrawal,Travel,5.67,619.12,763.4500122070312,1,Berlin,Web Browser,Debit Card,0,0,TXN_100028,CUST_10028
63,Credit,Deposit,Entertainment,53.75,8325.56,8271.8095703125,21,Toronto,Mobile App,Wire Transfer,0,0,TXN_100029,CUST_10029
54,Credit,Deposit,Retail,43.51,18268.08,18224.5703125,22,Tokyo,ATM,UPI / Wallet,0,0,TXN_100030,CUST_10030
69,Savings,Deposit,Entertainment,173.22,6531.74,6358.52001953125,14,Singapore,POS Terminal,Debit Card,1,0,TXN_100031,CUST_10031
50,Business,Deposit,Electronics,16.06,8551.69,8535.6298828125,23,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100032,CUST_10032
61,Savings,Deposit,Travel,148.34,13449.61,13301.26953125,11,Singapore,POS Terminal,Debit Card,1,0,TXN_100033,CUST_10033
60,Credit,Payment,Travel,166.59,12978.08,12811.490234375,17,Tokyo,Mobile App,Debit Card,1,0,TXN_100034,CUST_10034
66,Savings,Deposit,Utilities,45.15,8956.13,8910.98046875,11,Tokyo,Mobile App,Credit Card,1,0,TXN_100035,CUST_10035
18,Checking,Withdrawal,Travel,5.35,1612.42,1607.0699462890625,3,London,Web Browser,Debit Card,0,0,TXN_100036,CUST_10036
57,Credit,Transfer,Retail,8.62,1486.49,1477.8699951171875,19,London,Web Browser,Credit Card,0,0,TXN_100037,CUST_10037
73,Savings,Deposit,Travel,52.73,10986.09,10933.3603515625,18,New York,POS Terminal,Credit Card,1,0,TXN_100038,CUST_10038
44,Savings,Withdrawal,Utilities,7.9,789.75,781.8499755859375,2,London,Web Browser,Credit Card,1,0,TXN_100039,CUST_10039
66,Savings,Deposit,Travel,148.54,14624.93,14476.3896484375,15,Tokyo,Mobile App,Debit Card,1,0,TXN_100040,CUST_10040
46,Credit,Deposit,Electronics,83.49,11848.36,11764.8701171875,20,Tokyo,POS Terminal,Wire Transfer,0,0,TXN_100041,CUST_10041
25,Credit,Payment,Utilities,46.43,12221.09,12174.66015625,8,Singapore,POS Terminal,Debit Card,1,0,TXN_100042,CUST_10042
73,Savings,Deposit,Entertainment,186.88,9949.26,9762.3798828125,18,New York,Web Browser,Debit Card,1,0,TXN_100043,CUST_10043
74,Credit,Deposit,Electronics,21.77,387.89,366.1199951171875,23,New York,Web Browser,Debit Card,0,0,TXN_100044,CUST_10044
65,Credit,Withdrawal,Retail,6.99,194.46,187.47000122070312,10,Berlin,Web Browser,Credit Card,0,0,TXN_100045,CUST_10045
73,Credit,Payment,Entertainment,42.19,3519.72,3477.530029296875,22,New York,Web Browser,Credit Card,0,0,TXN_100046,CUST_10046
64,Credit,Deposit,Travel,174.39,16064.91,15890.51953125,12,Singapore,Mobile App,Debit Card,1,0,TXN_100047,CUST_10047
