transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-101326,CUST-1253,44,Credit,Transfer,Groceries,179.86684,12473.505,11963.173,12,New York,POS Terminal,Debit Card,0,0
TXN-101251,CUST-1229,44,Credit,Transfer,Groceries,111.295456,11973.856,11822.164,11,New York,Mobile App,Debit Card,0,0
TXN-101247,CUST-1286,45,Credit,Transfer,Retail,137.12933,15075.36,13724.944,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-101230,CUST-1246,43,Credit,Transfer,Groceries,136.63873,12853.889,12823.258,11,New York,POS Terminal,Debit Card,0,0
TXN-101147,CUST-1227,44,Credit,Payment,Groceries,126.38485,11796.177,12507.753,11,New York,Mobile App,UPI / Wallet,0,0
TXN-101237,CUST-1246,43,Credit,Transfer,Groceries,175.60086,12601.617,12741.927,11,New York,Mobile App,Debit Card,0,0
TXN-101245,CUST-1250,45,Credit,Transfer,Retail,114.00949,13205.899,12582.486,11,New York,Mobile App,Debit Card,0,0
TXN-101321,CUST-1265,45,Credit,Transfer,Retail,160.54193,13308.838,14060.964,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-101233,CUST-1244,44,Credit,Transfer,Groceries,146.89774,10816.596,11415.941,12,New York,Mobile App,Debit Card,0,0
TXN-101219,CUST-1247,45,Credit,Transfer,Groceries,690.48,12719.4,11552.71,11,New York,POS Terminal,UPI / Wallet,1,1
TXN-101195,CUST-1242,45,Credit,Transfer,Groceries,165.04738,11735.63,11924.499,11,New York,POS Terminal,Debit Card,0,0
TXN-101330,CUST-1270,45,Credit,Transfer,Retail,165.81038,12705.176,12072.306,11,New York,POS Terminal,Debit Card,0,0
TXN-101313,CUST-1262,45,Credit,Transfer,Retail,160.7509,12247.614,12515.22,12,New York,POS Terminal,UPI / Wallet,0,0
TXN-101388,CUST-1256,47,Credit,Transfer,Retail,150.05069,13144.471,13130.866,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-101492,CUST-1286,47,Credit,Transfer,Retail,79.852005,13097.159,13079.278,14,New York,POS Terminal,UPI / Wallet,0,0
TXN-101344,CUST-1275,45,Credit,Transfer,Groceries,663.6,12343.286,11591.508,12,New York,POS Terminal,UPI / Wallet,1,1
