age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
49,Credit,Transfer,Groceries,138.32,11027.18,10888.8603515625,10,New York,POS Terminal,Debit Card,0,0,TXN_100001,CUST_10001
50,Credit,Transfer,Retail,136.57,15642.41,15505.83984375,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100002,CUST_10002
48,Credit,Transfer,Retail,210.18,14525.9,14315.7197265625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100003,CUST_10003
42,Credit,Payment,Groceries,164.58,9117.16,8952.580078125,11,New York,Mobile App,Debit Card,0,0,TXN_100004,CUST_10004
46,Credit,Payment,Groceries,171.11,13059.72,12888.6103515625,13,New York,POS Terminal,Debit Card,0,0,TXN_100005,CUST_10005
53,Credit,Transfer,Retail,107.04,15532.9,15425.8603515625,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100006,CUST_10006
43,Credit,Transfer,Groceries,141.43,11646.37,11504.9404296875,13,New York,Mobile App,Debit Card,0,0,TXN_100007,CUST_10007
50,Credit,Transfer,Groceries,138.25,12314.25,12176.0,10,New York,POS Terminal,UPI / Wallet,0,0,TXN_100008,CUST_10008
52,Savings,Transfer,Retail,198.28,17746.64,17548.359375,14,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100009,CUST_10009
45,Credit,Transfer,Groceries,151.72,11159.12,11007.400390625,11,New York,Mobile App,Debit Card,0,0,TXN_100010,CUST_10010
44,Credit,Transfer,Groceries,136.61,11936.29,11799.6796875,11,New York,Mobile App,Debit Card,0,0,TXN_100011,CUST_10011
46,Credit,Payment,Groceries,115.14,13283.29,13168.150390625,14,New York,Mobile App,Debit Card,0,0,TXN_100012,CUST_10012
44,Credit,Transfer,Retail,118.47,12769.98,12651.509765625,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100013,CUST_10013
43,Credit,Transfer,Groceries,135.17,12608.43,12473.259765625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100014,CUST_10014
44,Credit,Payment,Groceries,107.05,12621.18,12514.1298828125,12,New York,Mobile App,Debit Card,0,0,TXN_100015,CUST_10015
43,Credit,Payment,Groceries,129.68,9770.69,9641.009765625,11,Mumbai,Mobile App,Debit Card,0,0,TXN_100016,CUST_10016
48,Credit,Transfer,Retail,124.68,15411.59,15286.91015625,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100017,CUST_10017
43,Credit,Transfer,Groceries,167.02,11100.94,10933.919921875,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100018,CUST_10018
48,Credit,Transfer,Retail,106.7,12590.69,12483.990234375,10,New York,POS Terminal,UPI / Wallet,0,0,TXN_100019,CUST_10019
51,Credit,Transfer,Retail,122.01,15873.54,15751.5302734375,14,New York,POS Terminal,UPI / Wallet,0,0,TXN_100020,CUST_10020
47,Credit,Transfer,Retail,160.19,13144.77,12984.580078125,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100021,CUST_10021
40,Checking,Payment,Groceries,159.26,9019.9,8860.6396484375,10,New York,Mobile App,Debit Card,0,0,TXN_100022,CUST_10022
47,Credit,Payment,Groceries,137.56,12280.54,12142.98046875,10,New York,POS Terminal,Debit Card,0,0,TXN_100023,CUST_10023
49,Credit,Payment,Retail,100.2,12930.03,12829.830078125,13,New York,POS Terminal,Debit Card,0,0,TXN_100024,CUST_10024
48,Credit,Transfer,Retail,192.54,13333.49,13140.9501953125,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100025,CUST_10025
43,Credit,Payment,Groceries,171.48,9749.03,9577.5498046875,11,New York,Mobile App,Debit Card,0,0,TXN_100026,CUST_10026
46,Credit,Transfer,Groceries,110.36,10761.01,10650.650390625,11,New York,Mobile App,Debit Card,0,0,TXN_100027,CUST_10027
39,Checking,Payment,Groceries,114.69,8285.49,8320.7998046875,9,Mumbai,Mobile App,Debit Card,0,0,TXN_100028,CUST_10028
51,Credit,Transfer,Retail,165.56,14563.26,14397.7001953125,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100029,CUST_10029
42,Credit,Payment,Groceries,127.1,10421.5,10294.400390625,10,New York,Mobile App,Debit Card,0,0,TXN_100030,CUST_10030
44,Credit,Payment,Groceries,146.32,10852.56,10706.240234375,10,New York,Mobile App,Debit Card,0,0,TXN_100031,CUST_10031
43,Credit,Payment,Groceries,145.64,11630.65,11485.009765625,10,Mumbai,Mobile App,Debit Card,0,0,TXN_100032,CUST_10032
56,Credit,Transfer,Retail,128.97,15973.35,15844.3798828125,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100033,CUST_10033
50,Credit,Transfer,Retail,136.41,13147.32,13010.91015625,11,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100034,CUST_10034
46,Credit,Transfer,Retail,162.07,12119.74,11957.669921875,12,New York,Mobile App,Debit Card,0,0,TXN_100035,CUST_10035
50,Credit,Transfer,Retail,151.96,14041.06,13889.099609375,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100036,CUST_10036
43,Credit,Payment,Groceries,123.88,9950.7,9826.8203125,11,New York,Mobile App,Debit Card,0,0,TXN_100037,CUST_10037
46,Credit,Transfer,Groceries,85.27,12595.59,12510.3203125,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100038,CUST_10038
46,Credit,Transfer,Groceries,131.46,11872.12,11740.66015625,11,New York,POS Terminal,Debit Card,0,0,TXN_100039,CUST_10039
47,Credit,Transfer,Retail,180.28,12303.8,12123.51953125,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100040,CUST_10040
44,Credit,Payment,Groceries,169.57,10669.64,10500.0703125,10,New York,Mobile App,Debit Card,0,0,TXN_100041,CUST_10041
45,Credit,Transfer,Groceries,164.55,12642.23,12477.6796875,11,New York,Mobile App,Debit Card,0,0,TXN_100042,CUST_10042
44,Credit,Payment,Groceries,137.8,11024.52,10886.7197265625,11,New York,Mobile App,Debit Card,0,0,TXN_100043,CUST_10043
45,Credit,Transfer,Retail,173.04,11842.67,11669.6298828125,12,New York,Mobile App,Debit Card,0,0,TXN_100044,CUST_10044
47,Credit,Transfer,Groceries,114.54,13498.39,13383.849609375,12,New York,Mobile App,Debit Card,0,0,TXN_100045,CUST_10045
51,Credit,Transfer,Retail,112.29,13871.59,13759.2998046875,14,New York,POS Terminal,UPI / Wallet,0,0,TXN_100046,CUST_10046
50,Savings,Transfer,Retail,159.35,14461.7,14302.349609375,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100047,CUST_10047
49,Credit,Transfer,Retail,157.45,12469.92,12312.4697265625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100048,CUST_10048
49,Credit,Transfer,Groceries,166.76,13580.74,13413.98046875,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100049,CUST_10049
46,Credit,Transfer,Groceries,165.54,12877.42,12711.8798828125,11,New York,POS Terminal,Debit Card,0,0,TXN_100050,CUST_10050
48,Credit,Transfer,Retail,142.3,13216.71,13074.41015625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100051,CUST_10051
43,Credit,Payment,Groceries,110.56,10435.89,10475.330078125,11,New York,Mobile App,Debit Card,0,0,TXN_100052,CUST_10052
52,Credit,Transfer,Retail,142.9,13667.01,13524.1103515625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100053,CUST_10053
