age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
24,Savings,Withdrawal,Entertainment,74.25,21349.87,21275.62,19,Toronto,POS Terminal,Credit Card,0,0,TXN_106200,CUST_16200
20,Savings,Transfer,Utilities,238.6,2689.99,2451.39,12,Tokyo,Mobile App,Wire Transfer,0,0,TXN_106991,CUST_16991
34,Savings,Withdrawal,Retail,419.86,15521.09,15101.23,10,Tokyo,ATM,Wire Transfer,1,0,TXN_101454,CUST_11454
58,Checking,Transfer,Groceries,15.71,11716.7,11700.99,9,Toronto,Mobile App,Credit Card,0,0,TXN_101736,CUST_11736
24,Checking,Transfer,Entertainment,173.11,18873.84,18700.73,17,Mumbai,POS Terminal,Credit Card,0,0,TXN_107080,CUST_17080
29,Credit,Transfer,Utilities,308.16,699.25,391.09,6,Toronto,ATM,UPI / Wallet,0,0,TXN_101215,CUST_11215
18,Savings,Transfer,Entertainment,336.07,18370.19,18034.12,2,Mumbai,Mobile App,UPI / Wallet,1,0,TXN_107788,CUST_17788
24,Business,Payment,Travel,53.94,21383.31,21329.37,3,Toronto,ATM,UPI / Wallet,0,0,TXN_108292,CUST_18292
18,Savings,Payment,Entertainment,818.0,20987.97,20169.97,16,Berlin,Web Browser,Credit Card,0,0,TXN_101169,CUST_11169
18,Checking,Withdrawal,Groceries,138.57,20313.6,20175.03,18,Berlin,ATM,Credit Card,1,0,TXN_108284,CUST_18284
18,Checking,Payment,Electronics,1100.0,10466.29,9366.29,13,New York,Mobile App,UPI / Wallet,0,0,TXN_104160,CUST_14160
36,Credit,Payment,Utilities,286.19,1463.64,1177.45,13,Singapore,Mobile App,Wire Transfer,1,0,TXN_107360,CUST_17360
18,Credit,Transfer,Groceries,83.46,3860.42,3776.96,9,Mumbai,Mobile App,Debit Card,0,1,TXN_103963,CUST_13963
18,Credit,Withdrawal,Groceries,16.48,7923.97,7907.49,5,Mumbai,ATM,Wire Transfer,1,0,TXN_106362,CUST_16362
18,Checking,Payment,Utilities,42.33,16163.1,16120.77,19,Toronto,POS Terminal,Credit Card,0,0,TXN_101501,CUST_11501
18,Savings,Deposit,Retail,147.03,5035.92,4888.89,4,Mumbai,ATM,Debit Card,0,0,TXN_106960,CUST_16960
