TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000001,AC00498,341.61,12/30/2025,Credit,Tucson,D000494,197.187.216.106,M096,Branch,64,Student,44,1,108.50
TX000002,AC00459,301.77,10/22/2021,Debit,Tucson,D000634,5.50.152.168,M052,Branch,70,Retired,54,1,11222.28
TX000003,AC00439,522.45,10/2/2023 18:57,Credit,New York,D000327,161.161.26.115,M079,Branch,50,Student,125,1,1629.33
TX000004,AC00483,63.53,9/12/2021,Debit,Washington,D000224,202.194.199.70,M016,ATM,45,Student,18,1,882.00
TX000005,AC00403,70.64,5/4/2025,Debit,Seattle,D000055,53.131.194.183,M072,ATM,57,Engineer,131,1,13678.86
TX000006,AC00494,155.44,12/29/2022,Credit,Omaha,D000569,110.64.1.201,M099,Online,79,Retired,90,1,632.89
TX000007,AC00495,364.08,12/15/2025,Credit,San Francisco,D000411,86.103.2.29,M093,Branch,48,Student,85,1,126.33
TX000008,AC00326,254.74,3/28/2024,Debit,Sacramento,D000090,82.75.200.117,M060,ATM,54,Engineer,142,1,11582.15
TX000009,AC00498,219.86,4/28/2025,Credit,San Diego,D000560,65.149.11.248,M099,Online,77,Student,66,1,137.69
TX000010,AC00375,156.62,11/1/2023,Debit,Virginia Beach,D000268,11.167.243.171,M035,ATM,59,Retired,68,1,9984.04
TX000011,AC00487,618.42,1/21/2025,Credit,Seattle,D000464,200.13.225.150,M087,Branch,66,Student,47,1,165.14
TX000012,AC00331,230.40,2/21/2025,Debit,Seattle,D000397,94.37.250.128,M022,ATM,68,Engineer,83,1,11191.54
TX000013,AC00494,577.84,5/16/2023,Credit,Tucson,D000557,145.76.10.8,M093,Branch,69,Student,36,1,118.66
TX000014,AC00462,1153.60,2/15/2024,Debit,Virginia Beach,D000617,156.96.135.18,M016,ATM,39,Student,30,1,154.61
TX000015,AC00382,384.15,3/27/2023,Credit,Indianapolis,D000527,203.197.235.35,M083,Online,75,Engineer,110,1,6030.71
TX000016,AC00494,1198.46,1/7/2023 0:00,Credit,Tucson,D000663,190.164.160.79,M051,Branch,62,Student,32,1,102.40
TX000017,AC00273,367.90,7/22/2024,Debit,Raleigh,D000343,59.145.242.13,M049,Branch,71,Doctor,86,1,13578.16
TX000018,AC00491,264.27,7/13/2024,Debit,Washington,D000640,221.23.158.87,M046,ATM,72,Student,17,1,7920.13
TX000019,AC00499,856.97,3/7/2023,Credit,Virginia Beach,D000650,12.246.170.239,M086,Branch,51,Student,38,1,101.37
TX000020,AC00406,6.63,3/29/2025,Debit,Virginia Beach,D000009,204.34.243.93,M072,ATM,70,Doctor,65,1,14928.25
TX000021,AC00382,24.47,6/2/2020,Debit,Virginia Beach,D000151,23.92.205.75,M078,ATM,76,Doctor,47,1,14961.06
TX000022,AC00497,338.95,6/25/2025,Credit,San Francisco,D000514,40.45.69.120,M096,Online,54,Student,68,1,105.89
TX000023,AC00313,342.72,8/12/2021,Debit,Miami,D000282,44.73.3.217,M050,Branch,57,Engineer,144,1,9744.80
TX000024,AC00479,359.00,1/28/2024,Credit,Omaha,D000450,68.254.244.208,M090,Online,54,Student,140,1,193.73
TX000025,AC00499,473.65,8/11/2021,Debit,Washington,D000675,133.63.96.21,M029,ATM,63,Student,13,1,1045.74
