age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
49,Credit,Transfer,Groceries,166.7644,13580.74,13543.534,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100049,CUST_10049
47,Credit,Transfer,Groceries,164.85895,10483.023,10787.851,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100096,CUST_10096
40,Credit,Payment,Groceries,151.65352,8381.55,9728.043,10,New York,Mobile App,Debit Card,0,0,TXN_100057,CUST_10057
53,Credit,Transfer,Retail,107.04294,15532.897,14677.087,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100006,CUST_10006
43,Checking,Payment,Groceries,97.332794,9816.775,9117.242,9,New York,Mobile App,Debit Card,0,0,TXN_100094,CUST_10094
44,Credit,Payment,Groceries,117.27823,10603.629,12032.175,12,New York,Mobile App,Debit Card,0,0,TXN_100073,CUST_10073
50,Credit,Transfer,Retail,162.40901,13773.816,13548.949,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100074,CUST_10074
45,Credit,Transfer,Retail,224.12769,12745.911,12455.659,13,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100080,CUST_10080
44,Credit,Transfer,Groceries,118.15865,11343.763,10129.568,11,New York,Mobile App,Debit Card,0,0,TXN_100084,CUST_10084
43,Credit,Payment,Groceries,576.39,10435.894,11483.423,11,New York,Mobile App,Debit Card,1,1,TXN_100052,CUST_10052
44,Credit,Transfer,Groceries,136.6101,11936.289,11558.269,11,New York,Mobile App,Debit Card,0,0,TXN_100011,CUST_10011
46,Credit,Transfer,Groceries,180.7337,13598.78,12673.697,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100056,CUST_10056
45,Credit,Transfer,Retail,173.0357,11842.669,11508.278,12,New York,Mobile App,Debit Card,0,0,TXN_100044,CUST_10044
44,Credit,Payment,Groceries,137.79956,11024.522,10860.361,11,New York,Mobile App,Debit Card,0,0,TXN_100043,CUST_10043
44,Credit,Payment,Groceries,162.4812,10095.708,12092.227,12,New York,Mobile App,Debit Card,0,0,TXN_100064,CUST_10064
49,Credit,Transfer,Retail,626.78,15439.775,13998.044,13,New York,POS Terminal,UPI / Wallet,1,1,TXN_100061,CUST_10061
50,Savings,Transfer,Retail,159.35216,14461.705,15214.209,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100047,CUST_10047
42,Credit,Transfer,Groceries,162.82378,11712.0625,11196.585,10,New York,Mobile App,Debit Card,0,0,TXN_100069,CUST_10069
44,Credit,Payment,Groceries,187.09198,12043.334,12719.311,10,New York,Mobile App,Debit Card,0,0,TXN_100071,CUST_10071
48,Credit,Transfer,Groceries,104.71017,12068.465,11103.962,10,New York,Mobile App,Debit Card,0,0,TXN_100089,CUST_10089
51,Credit,Transfer,Retail,122.00519,15873.544,15161.974,14,New York,POS Terminal,UPI / Wallet,0,0,TXN_100020,CUST_10020
50,Credit,Transfer,Retail,106.73597,13861.969,13982.602,10,New York,POS Terminal,UPI / Wallet,0,0,TXN_100095,CUST_10095
42,Checking,Payment,Groceries,119.486824,10754.348,10005.789,9,Mumbai,Mobile App,Debit Card,0,0,TXN_100077,CUST_10077
47,Credit,Payment,Groceries,176.81656,13027.702,12960.933,12,New York,POS Terminal,Debit Card,0,0,TXN_100086,CUST_10086
43,Checking,Payment,Groceries,113.71082,9743.864,9377.121,9,Mumbai,Mobile App,Debit Card,0,0,TXN_100090,CUST_10090
47,Credit,Transfer,Retail,180.27654,12303.801,14620.529,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100040,CUST_10040
46,Credit,Payment,Groceries,115.136795,13283.287,10919.726,14,New York,Mobile App,Debit Card,0,0,TXN_100012,CUST_10012
40,Checking,Payment,Groceries,159.26378,9019.899,10032.964,10,New York,Mobile App,Debit Card,0,0,TXN_100022,CUST_10022
48,Credit,Transfer,Retail,606.74,12735.605,12020.785,12,New York,Mobile App,UPI / Wallet,1,1,TXN_100075,CUST_10075
43,Credit,Transfer,Groceries,113.39437,11977.472,10712.849,12,New York,Mobile App,Debit Card,0,0,TXN_100055,CUST_10055
45,Credit,Payment,Groceries,140.32782,12122.265,11260.625,9,New York,Mobile App,UPI / Wallet,0,0,TXN_100054,CUST_10054
49,Credit,Transfer,Retail,143.94353,15182.043,14014.597,13,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100066,CUST_10066
45,Credit,Transfer,Groceries,108.17063,12062.483,10663.121,11,New York,Mobile App,Debit Card,0,0,TXN_100058,CUST_10058
44,Credit,Transfer,Retail,118.47329,12769.982,12303.474,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100013,CUST_10013
42,Credit,Payment,Groceries,127.09941,10421.505,11565.701,10,New York,Mobile App,Debit Card,0,0,TXN_100030,CUST_10030
47,Credit,Transfer,Retail,700.48,13144.7705,12823.423,11,New York,POS Terminal,UPI / Wallet,1,1,TXN_100021,CUST_10021
43,Credit,Transfer,Groceries,141.42607,11646.374,12115.647,13,New York,Mobile App,Debit Card,0,0,TXN_100007,CUST_10007
47,Credit,Transfer,Groceries,153.63658,12341.675,11993.929,12,New York,Mobile App,UPI / Wallet,0,0,TXN_100079,CUST_10079
