age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
25,Savings,Payment,Retail,24.63,24120.61,24095.98,5,London,ATM,Debit Card,0,0,TXN_108753,CUST_18753
57,Checking,Transfer,Retail,606.68,13329.3,12722.62,8,Tokyo,ATM,Debit Card,0,0,TXN_105149,CUST_15149
22,Checking,Payment,Electronics,216.6,20962.41,20745.81,22,Singapore,ATM,Wire Transfer,0,0,TXN_107991,CUST_17991
63,Checking,Transfer,Entertainment,253.77,3491.42,3237.65,7,Mumbai,POS Terminal,Credit Card,0,1,TXN_104967,CUST_14967
67,Business,Deposit,Entertainment,22.3,13461.24,13438.94,10,Tokyo,POS Terminal,Debit Card,0,0,TXN_111110,CUST_21110
25,Checking,Payment,Entertainment,77.22,7001.32,6924.1,22,London,Web Browser,Credit Card,0,1,TXN_107803,CUST_17803
26,Business,Payment,Travel,520.56,11170.93,10650.37,7,London,Web Browser,Credit Card,0,0,TXN_100303,CUST_10303
66,Savings,Deposit,Retail,63.03,24571.17,24508.14,20,Berlin,ATM,Credit Card,1,0,TXN_102335,CUST_12335
59,Checking,Transfer,Utilities,5.51,14575.57,14570.06,5,Berlin,ATM,UPI / Wallet,0,0,TXN_106978,CUST_16978
53,Savings,Transfer,Electronics,43.87,1962.32,1918.45,8,Toronto,POS Terminal,Wire Transfer,0,0,TXN_101092,CUST_11092
54,Credit,Payment,Groceries,19.17,5291.23,5272.06,3,Mumbai,POS Terminal,Wire Transfer,0,0,TXN_108251,CUST_18251
21,Checking,Deposit,Utilities,29.84,14656.72,14626.88,5,New York,Mobile App,Credit Card,0,1,TXN_103317,CUST_13317
58,Checking,Deposit,Entertainment,128.21,26239.45,26111.24,12,New York,POS Terminal,Credit Card,0,0,TXN_104756,CUST_14756
54,Credit,Withdrawal,Retail,10.23,27612.69,27602.46,5,New York,POS Terminal,Credit Card,0,0,TXN_107760,CUST_17760
71,Savings,Payment,Utilities,10.04,21373.66,21363.62,13,London,POS Terminal,UPI / Wallet,1,0,TXN_108417,CUST_18417
48,Checking,Payment,Groceries,2.25,23461.63,23459.38,5,Toronto,ATM,Debit Card,0,0,TXN_108268,CUST_18268
62,Checking,Transfer,Entertainment,509.06,906.94,397.88,19,Berlin,POS Terminal,Debit Card,0,0,TXN_102345,CUST_12345
42,Savings,Withdrawal,Entertainment,7.13,5391.85,5384.72,23,New York,Web Browser,Debit Card,0,0,TXN_109434,CUST_19434
18,Checking,Transfer,Retail,67.78,25517.18,25449.4,4,New York,Mobile App,UPI / Wallet,1,0,TXN_101709,CUST_11709
55,Savings,Transfer,Groceries,133.54,20558.16,20424.62,4,London,ATM,Debit Card,0,0,TXN_100486,CUST_10486
23,Credit,Payment,Entertainment,75.7,25354.78,25279.08,10,Singapore,Mobile App,Credit Card,0,0,TXN_112088,CUST_22088
20,Credit,Payment,Utilities,68.31,18477.21,18408.9,7,New York,Mobile App,Credit Card,0,1,TXN_109444,CUST_19444
56,Savings,Payment,Entertainment,298.92,4789.22,4490.3,23,Toronto,Web Browser,Wire Transfer,0,0,TXN_103941,CUST_13941
35,Checking,Payment,Utilities,35.85,25315.02,25279.17,13,Tokyo,Mobile App,Debit Card,0,0,TXN_100458,CUST_10458
43,Credit,Withdrawal,Travel,238.68,14755.58,14516.9,0,New York,POS Terminal,Wire Transfer,0,0,TXN_105991,CUST_15991
66,Credit,Transfer,Groceries,251.88,23414.19,23162.31,17,Tokyo,Web Browser,Debit Card,0,0,TXN_111912,CUST_21912
48,Savings,Payment,Retail,121.29,8084.51,7963.22,12,New York,Web Browser,Credit Card,0,0,TXN_102735,CUST_12735
77,Checking,Payment,Retail,57.73,20003.93,20096.2,21,Tokyo,ATM,UPI / Wallet,0,0,TXN_109316,CUST_19316
73,Savings,Withdrawal,Groceries,292.78,20546.48,20253.7,19,Singapore,ATM,Credit Card,0,0,TXN_102386,CUST_12386
41,Savings,Transfer,Retail,6.79,24556.68,24549.89,23,Toronto,Mobile App,Credit Card,1,0,TXN_108829,CUST_18829
79,Checking,Transfer,Groceries,14.12,19236.6,19222.48,16,New York,ATM,UPI / Wallet,1,0,TXN_111222,CUST_21222
