age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
18,Savings,Payment,Entertainment,644.44,549.12,0.0,12,Berlin,POS Terminal,Wire Transfer,0,0,TXN_100209,CUST_10209
39,Checking,Transfer,Travel,376.98,16245.97,15868.99,23,Toronto,ATM,UPI / Wallet,0,0,TXN_106823,CUST_16823
67,Checking,Withdrawal,Travel,23.69,26999.34,26975.65,22,London,Mobile App,UPI / Wallet,0,0,TXN_104793,CUST_14793
63,Checking,Deposit,Entertainment,52.15,25635.45,25583.3,23,Singapore,POS Terminal,UPI / Wallet,0,1,TXN_100927,CUST_10927
59,Checking,Transfer,Groceries,32.68,4604.83,4572.15,15,Singapore,Web Browser,Credit Card,0,0,TXN_101825,CUST_11825
56,Checking,Deposit,Retail,33.79,11491.5,11457.71,7,Singapore,Mobile App,Wire Transfer,0,0,TXN_104583,CUST_14583
18,Savings,Deposit,Travel,409.63,8402.33,7992.7,8,Tokyo,Mobile App,Debit Card,1,0,TXN_100137,CUST_10137
64,Savings,Transfer,Utilities,287.82,18904.89,18617.07,20,Toronto,Web Browser,Wire Transfer,0,0,TXN_105710,CUST_15710
26,Credit,Withdrawal,Retail,283.97,4863.65,4579.68,16,New York,Web Browser,Debit Card,0,0,TXN_104957,CUST_14957
43,Savings,Transfer,Electronics,119.27,13441.82,13322.55,18,Berlin,Mobile App,Debit Card,0,0,TXN_100302,CUST_10302
52,Savings,Payment,Retail,90.31,16723.5,16633.19,6,Singapore,ATM,Debit Card,0,1,TXN_102069,CUST_12069
21,Savings,Withdrawal,Utilities,442.33,25614.8,25172.47,9,Toronto,Web Browser,UPI / Wallet,0,0,TXN_106981,CUST_16981
62,Savings,Withdrawal,Retail,310.23,13199.45,12889.22,1,Mumbai,Web Browser,Credit Card,0,0,TXN_106930,CUST_16930
70,Checking,Transfer,Entertainment,44.24,7850.87,7806.63,1,New York,ATM,Wire Transfer,0,0,TXN_104554,CUST_14554
18,Checking,Transfer,Entertainment,43.87,10886.73,10842.86,11,New York,Web Browser,Debit Card,1,0,TXN_100274,CUST_10274
21,Business,Deposit,Electronics,30.25,22295.58,22265.33,9,Berlin,Web Browser,UPI / Wallet,0,0,TXN_106088,CUST_16088
66,Checking,Payment,Travel,135.54,19723.82,19588.28,8,London,Mobile App,Wire Transfer,0,0,TXN_102770,CUST_12770
42,Checking,Deposit,Electronics,49.3,21557.74,21508.44,1,Mumbai,ATM,Debit Card,0,0,TXN_104311,CUST_14311
39,Savings,Transfer,Retail,37.96,5941.53,5903.57,5,Mumbai,Mobile App,Debit Card,0,0,TXN_103885,CUST_13885
30,Checking,Payment,Retail,9.73,21752.27,21742.54,19,Toronto,Mobile App,Wire Transfer,1,0,TXN_100855,CUST_10855
66,Savings,Payment,Entertainment,13.26,18100.26,18087.0,18,New York,POS Terminal,Debit Card,0,0,TXN_100375,CUST_10375
66,Checking,Transfer,Retail,257.58,15168.52,14910.94,17,London,Web Browser,UPI / Wallet,0,0,TXN_105101,CUST_15101
59,Savings,Payment,Travel,71.79,19041.8,18970.01,11,Singapore,ATM,Wire Transfer,0,0,TXN_102392,CUST_12392
38,Savings,Payment,Travel,113.13,22317.23,22204.1,5,London,POS Terminal,Credit Card,0,1,TXN_103032,CUST_13032
63,Checking,Payment,Utilities,62.44,23232.85,23170.41,3,Mumbai,ATM,UPI / Wallet,0,0,TXN_100445,CUST_10445
55,Savings,Withdrawal,Retail,18.28,22619.61,22601.33,18,Berlin,Web Browser,Debit Card,0,0,TXN_102065,CUST_12065
47,Savings,Transfer,Retail,25.06,17356.5,17331.44,13,Toronto,ATM,UPI / Wallet,0,1,TXN_102262,CUST_12262
46,Savings,Withdrawal,Utilities,122.85,26094.08,26121.23,9,Berlin,Web Browser,Wire Transfer,0,0,TXN_106446,CUST_16446
33,Credit,Withdrawal,Retail,108.83,24365.5,24256.67,13,Tokyo,Web Browser,Debit Card,0,0,TXN_100674,CUST_10674
29,Savings,Payment,Groceries,61.6,15465.73,15404.13,12,Tokyo,ATM,UPI / Wallet,0,0,TXN_105124,CUST_15124
74,Checking,Transfer,Groceries,15.61,21268.82,21253.21,22,Tokyo,POS Terminal,Debit Card,0,0,TXN_100900,CUST_10900
42,Savings,Payment,Utilities,43.56,24109.55,24065.99,4,Toronto,ATM,Wire Transfer,0,1,TXN_103773,CUST_13773
33,Business,Withdrawal,Retail,15.74,11815.73,11799.99,5,Berlin,POS Terminal,Wire Transfer,0,0,TXN_103028,CUST_13028
20,Checking,Payment,Utilities,76.92,26788.77,26711.85,4,New York,POS Terminal,Debit Card,1,0,TXN_101558,CUST_11558
54,Checking,Payment,Retail,143.22,4777.91,4634.69,11,Toronto,ATM,UPI / Wallet,1,0,TXN_106985,CUST_16985
44,Savings,Transfer,Groceries,109.69,23313.7,23204.01,23,Mumbai,ATM,Wire Transfer,1,0,TXN_105601,CUST_15601
22,Savings,Transfer,Groceries,207.75,22192.39,21984.64,2,Berlin,Web Browser,Wire Transfer,0,0,TXN_105099,CUST_15099
35,Checking,Transfer,Entertainment,26.46,21266.71,21240.25,13,Tokyo,Mobile App,UPI / Wallet,0,0,TXN_104765,CUST_14765
44,Savings,Withdrawal,Retail,28.71,11435.33,11406.62,10,Mumbai,Web Browser,Debit Card,0,0,TXN_105798,CUST_15798
72,Savings,Withdrawal,Electronics,83.72,23984.86,23901.14,21,Mumbai,Web Browser,Debit Card,0,0,TXN_103093,CUST_13093
64,Credit,Deposit,Entertainment,61.53,19696.06,19634.53,7,Toronto,Mobile App,Credit Card,0,0,TXN_100576,CUST_10576
73,Savings,Payment,Groceries,58.78,23892.16,23833.38,16,Berlin,POS Terminal,Debit Card,1,0,TXN_100747,CUST_10747
43,Savings,Payment,Retail,232.24,1751.01,1518.77,21,London,Web Browser,UPI / Wallet,0,1,TXN_104028,CUST_14028
49,Credit,Payment,Electronics,52.02,18499.42,18447.4,20,London,ATM,Wire Transfer,1,0,TXN_102203,CUST_12203
22,Savings,Payment,Retail,66.54,25802.05,25735.51,20,Berlin,Mobile App,UPI / Wallet,0,0,TXN_104653,CUST_14653
70,Business,Payment,Retail,81.84,22808.43,22726.59,22,London,ATM,UPI / Wallet,0,0,TXN_100446,CUST_10446
59,Checking,Withdrawal,Travel,142.42,26481.67,26339.25,5,Mumbai,ATM,Wire Transfer,0,0,TXN_103569,CUST_13569
35,Checking,Transfer,Groceries,370.5,27410.75,27040.25,3,New York,Web Browser,Wire Transfer,0,0,TXN_104844,CUST_14844
18,Checking,Payment,Retail,476.21,21886.78,21410.57,22,Mumbai,ATM,Credit Card,0,0,TXN_105580,CUST_15580
64,Savings,Payment,Electronics,81.81,24176.17,24094.36,21,Singapore,Web Browser,Credit Card,0,1,TXN_106797,CUST_16797
67,Checking,Transfer,Entertainment,191.41,24391.21,24199.8,23,Mumbai,Web Browser,Debit Card,0,0,TXN_105528,CUST_15528
33,Credit,Deposit,Groceries,139.07,20658.59,20669.52,18,Mumbai,Web Browser,Wire Transfer,0,1,TXN_106611,CUST_16611
21,Savings,Deposit,Utilities,111.31,24078.2,23966.89,9,Toronto,Mobile App,Debit Card,0,0,TXN_102859,CUST_12859
18,Savings,Withdrawal,Groceries,101.32,13283.4,13182.08,6,Tokyo,Mobile App,UPI / Wallet,1,0,TXN_102169,CUST_12169
61,Checking,Withdrawal,Travel,51.2,25557.93,25506.73,21,Tokyo,ATM,Wire Transfer,0,0,TXN_105610,CUST_15610
49,Savings,Deposit,Travel,21.03,23692.88,23671.85,23,Berlin,Web Browser,Wire Transfer,0,0,TXN_105145,CUST_15145
33,Business,Transfer,Travel,194.53,21516.4,21321.87,0,Berlin,Mobile App,UPI / Wallet,0,0,TXN_105679,CUST_15679
59,Checking,Transfer,Groceries,8.45,12223.23,12214.78,14,Singapore,Mobile App,Debit Card,1,1,TXN_104704,CUST_14704
