transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-101025,CUST-1379,29,Savings,Deposit,Entertainment,128.07,19155.2,19027.13,6,London,Web Browser,Debit Card,0,0
TXN-100191,CUST-1444,23,Savings,Payment,Entertainment,32.83,586.74,553.91,5,London,Web Browser,Wire Transfer,0,0
TXN-100807,CUST-1446,52,Credit,Payment,Electronics,304.05,3570.8,3266.75,7,London,Mobile App,Wire Transfer,0,0
TXN-101921,CUST-1433,49,Savings,Payment,Electronics,233.42,3853.16,3619.74,8,London,POS Terminal,Wire Transfer,0,0
TXN-101745,CUST-1450,41,Credit,Payment,Entertainment,322.13,5172.81,4850.68,8,London,POS Terminal,Wire Transfer,1,0
TXN-100461,CUST-1444,32,Savings,Payment,Entertainment,227.24,7622.09,7394.85,10,London,Web Browser,UPI / Wallet,0,0
TXN-102127,CUST-1438,37,Savings,Deposit,Electronics,140.23,10728.76,10588.53,1,London,Web Browser,Wire Transfer,1,0
TXN-102149,CUST-1388,28,Savings,Payment,Entertainment,139.82,15601.1,15461.28,1,Berlin,Web Browser,Wire Transfer,0,0
TXN-101923,CUST-1432,34,Credit,Payment,Entertainment,846.85,5422.77,4575.92,4,London,POS Terminal,Wire Transfer,1,1
TXN-102141,CUST-1438,46,Checking,Deposit,Entertainment,277.23,6142.79,5865.56,3,Mumbai,POS Terminal,Wire Transfer,1,0
TXN-102018,CUST-1441,37,Credit,Payment,Entertainment,294.35,7051.74,6757.39,9,London,POS Terminal,UPI / Wallet,1,0
TXN-100974,CUST-1359,23,Credit,Payment,Entertainment,51.13,10253.33,10202.2,3,London,POS Terminal,Wire Transfer,0,0
TXN-102291,CUST-1433,44,Savings,Payment,Electronics,205.97,2303.59,2097.62,5,London,POS Terminal,Wire Transfer,1,0
TXN-102138,CUST-1454,21,Savings,Deposit,Entertainment,39.17,12500.73,12461.56,6,Mumbai,Web Browser,Credit Card,0,0
