transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-100048,CUST-1228,45,Credit,Payment,Groceries,138.38,10786.14,10647.76,11,New York,POS Terminal,Debit Card,0,0
TXN-100095,CUST-1337,49,Credit,Transfer,Retail,230.94,14250.26,14019.32,16,New York,POS Terminal,UPI / Wallet,0,0
TXN-100056,CUST-1245,45,Credit,Transfer,Retail,146.50,13121.86,12975.36,12,New York,Mobile App,Debit Card,0,0
TXN-100005,CUST-1239,50,Credit,Transfer,Retail,144.89,13013.28,12868.39,11,New York,Mobile App,Debit Card,0,0
TXN-100093,CUST-1232,47,Credit,Payment,Retail,121.84,10629.07,10507.23,10,New York,Mobile App,Debit Card,0,0
TXN-100072,CUST-1237,48,Credit,Transfer,Retail,175.28,12154.78,11979.50,12,New York,Mobile App,Debit Card,0,0
TXN-100073,CUST-1229,45,Credit,Transfer,Groceries,136.63,13301.06,13164.43,11,New York,POS Terminal,Debit Card,0,0
TXN-100079,CUST-1190,40,Credit,Payment,Groceries,119.88,10579.33,10459.45,9,New York,Mobile App,Debit Card,0,0
TXN-100083,CUST-1277,50,Credit,Transfer,Retail,188.23,15034.16,14845.93,13,New York,POS Terminal,UPI / Wallet,0,0
TXN-100051,CUST-1363,52,Savings,Transfer,Retail,873.18,15018.15,14144.97,17,Singapore,POS Terminal,UPI / Wallet,1,1
TXN-100010,CUST-1291,53,Credit,Transfer,Retail,155.79,13510.83,13355.04,14,Singapore,POS Terminal,UPI / Wallet,0,0
TXN-100055,CUST-1225,45,Credit,Transfer,Groceries,121.93,13020.56,12898.63,11,New York,Mobile App,Debit Card,0,0
TXN-100043,CUST-1209,43,Credit,Payment,Groceries,163.10,11270.05,11106.95,10,New York,Mobile App,Debit Card,0,0
TXN-100042,CUST-1262,50,Credit,Transfer,Retail,158.91,14455.79,14296.88,14,New York,POS Terminal,UPI / Wallet,0,0
TXN-100063,CUST-1211,44,Credit,Payment,Groceries,132.52,11621.24,11488.72,10,New York,Mobile App,Debit Card,0,0
TXN-100060,CUST-1241,44,Credit,Transfer,Groceries,632.05,11672.24,11040.19,11,New York,Mobile App,Debit Card,1,1
TXN-100046,CUST-1216,45,Checking,Payment,Groceries,121.17,10880.26,10759.09,9,New York,Mobile App,Debit Card,0,0
TXN-100068,CUST-1253,49,Credit,Transfer,Groceries,115.54,12678.20,12562.66,12,New York,POS Terminal,Debit Card,0,0
