WireReferenceID,SenderInstitution_BIC,BeneficiaryInstitution_BIC,OriginCountry,DestinationCountry,TransferAmount_EUR,CurrencyPair,TransferMessageStandard,KYC_CustomerRiskRating,SanctionScreeningResult,SettlementDuration_Minutes,AML_SuspiciousActivityFlag
SWIFT_W91400,DBSGSGSG,INGBNL2A,FR,DE,9869.46,EUR/INR,ISO20022_pacs008,Low_Risk,Clean_NoHit,14.45,0
SWIFT_W91536,DBSSHKHH,RABONL2U,GB,ES,31932.34,EUR/SGD,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,22.87,0
SWIFT_W91605,DBSSHKHH,RABONL2U,GB,ES,-21091.39,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,13.42,0
SWIFT_W91500,DBSGSGSG,RABONL2U,GB,DE,96911.94,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,18.40,0
SWIFT_W91435,DBSGSGSG,INGBNL2A,FR,DE,-23013.72,EUR/INR,ISO20022_pacs008,PEP_Politically_Exposed,Clean_NoHit,14.56,0
SWIFT_W91759,DBSSHKHH,RABONL2U,GB,ES,-19469.14,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,28.72,0
SWIFT_W91386,DBSGSGSG,INGBNL2A,GB,DE,-120169.01,EUR/INR,ISO20022_pacs008,PEP_Politically_Exposed,Clean_NoHit,4.40,0
SWIFT_W91609,DBSSHKHH,RABONL2U,GB,ES,227338.38,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,24.99,0
SWIFT_W91743,DBSSHKHH,RABONL2U,GB,ES,71261.30,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,28.61,0
SWIFT_W91295,DBSGSGSG,INGBNL2A,FR,DE,-75873.96,EUR/INR,ISO20022_pacs008,Low_Risk,Clean_NoHit,19.36,0
