transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-101254,CUST-1077,17,Credit,Transfer,Travel,543.3351163045568,22978.639754569856,13992.443271100638,4,Toronto,Web Browser,Wire Transfer,0,0
TXN-101724,CUST-1182,45,Savings,Payment,Retail,366.872035286815,626.1544684471805,6870.112441056521,18,Berlin,Web Browser,UPI / Wallet,0,0
TXN-101012,CUST-1220,26,Checking,Deposit,Entertainment,189.9883164627293,8865.785571064647,5597.066841385928,20,Toronto,Mobile App,Credit Card,0,0
TXN-100781,CUST-1499,23,Checking,Withdrawal,Utilities,65.3411588948257,23916.709790780995,19479.006472697412,7,London,Web Browser,UPI / Wallet,0,0
TXN-100720,CUST-1152,15,Savings,Transfer,Groceries,315.16116833106776,21033.492867421606,4564.6532869379025,10,New York,Web Browser,UPI / Wallet,0,0
TXN-100793,CUST-1341,15,Credit,Payment,Electronics,73.96858280101733,22012.673680495063,20532.674803618906,18,Toronto,POS Terminal,Debit Card,0,0
TXN-100792,CUST-1469,15,Credit,Payment,Entertainment,595.222484128324,15920.232689698361,5067.124134050665,7,Toronto,ATM,Credit Card,0,1
TXN-100123,CUST-1334,16,Checking,Payment,Retail,255.83221246305595,19559.00675929771,17805.15658975786,4,Singapore,Web Browser,Credit Card,0,0
TXN-101139,CUST-1389,48,Credit,Transfer,Retail,415.6897685697795,2759.868547061188,2846.885996334425,7,Berlin,Web Browser,Wire Transfer,0,0
TXN-101654,CUST-1237,36,Savings,Transfer,Entertainment,153.18783848076413,1336.102884710778,5487.717142669949,8,Mumbai,Mobile App,Debit Card,0,1
TXN-100784,CUST-1091,18,Savings,Withdrawal,Electronics,281.7671347877799,2110.7601899344395,7234.324140923486,22,Berlin,Web Browser,Wire Transfer,0,0
TXN-101206,CUST-1421,44,Savings,Payment,Retail,633.8108354747433,16577.581867271296,8999.961879885697,6,London,POS Terminal,UPI / Wallet,0,0
TXN-102195,CUST-1204,21,Savings,Transfer,Retail,88.75787159729175,24016.806869534605,19157.78788029311,13,Toronto,Mobile App,Credit Card,0,0
TXN-100151,CUST-1345,18,Savings,Transfer,Electronics,59.00520683387461,21202.741363784527,8480.807698026842,3,Singapore,ATM,UPI / Wallet,0,0
TXN-101921,CUST-1057,42,Checking,Withdrawal,Retail,209.73093993370475,9452.08598618942,18367.768619290364,5,Toronto,Mobile App,Wire Transfer,0,0
