transaction_id,customer_id,age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud
TXN-100715,CUST-1450,42,Savings,Payment,Electronics,219.75,2453.81,2234.06,10,London,POS Terminal,Wire Transfer,0,0
TXN-100954,CUST-1408,23,Savings,Payment,Entertainment,69.53,7883.82,7814.29,4,London,Web Browser,UPI / Wallet,0,0
TXN-100364,CUST-1366,26,Credit,Deposit,Entertainment,16.07,22715.04,22698.97,7,London,POS Terminal,Credit Card,0,0
TXN-100195,CUST-1445,38,Checking,Payment,Entertainment,256.41,7929.92,7673.51,9,Mumbai,POS Terminal,UPI / Wallet,0,0
TXN-100530,CUST-1309,30,Savings,Payment,Entertainment,145.15,18693.16,18548.01,3,London,POS Terminal,UPI / Wallet,0,0
TXN-100399,CUST-1476,21,Savings,Payment,Entertainment,24.42,10614.33,10589.91,17,London,Web Browser,Credit Card,0,0
TXN-100833,CUST-1444,42,Credit,Payment,Electronics,272.12,5807.62,5535.5,3,London,POS Terminal,Wire Transfer,1,0
TXN-100264,CUST-1423,25,Savings,Deposit,Entertainment,89.72,15932.05,15842.33,8,London,Web Browser,Credit Card,0,0
TXN-100496,CUST-1360,28,Savings,Payment,Entertainment,101.61,12239.31,12137.7,4,London,POS Terminal,UPI / Wallet,0,0
TXN-100687,CUST-1420,20,Savings,Deposit,Entertainment,26.06,7836.59,7810.53,6,London,Web Browser,Debit Card,0,0
TXN-100659,CUST-1429,31,Savings,Payment,Entertainment,191.96,8037.08,7845.12,13,London,Web Browser,Debit Card,0,0
TXN-100366,CUST-1330,46,Credit,Payment,Entertainment,1054.05,5209.55,4155.5,4,London,Mobile App,Wire Transfer,1,1
TXN-100153,CUST-1444,34,Checking,Payment,Entertainment,72.03,3169.05,3097.02,7,Mumbai,POS Terminal,Wire Transfer,0,0
TXN-100520,CUST-1415,41,Credit,Payment,Entertainment,269.88,6724.3,6454.42,6,London,POS Terminal,Wire Transfer,1,0
TXN-100612,CUST-1233,25,Savings,Deposit,Entertainment,45.0,6266.4,6221.4,1,Berlin,Mobile App,Wire Transfer,0,0
TXN-100846,CUST-1448,29,Savings,Payment,Electronics,152.59,9978.9,9826.31,4,London,Web Browser,UPI / Wallet,0,0
