date,description,debit,credit,balance,isSuspicious
22-03-2023,NETTXN:AJIOLUXE,14319.98,30084.05,4.2825225e+06,1
16-10-2024,CRYPTOEXCHANGEWAZIRX,722714.56,0.0,7.3075195e+06,0
24-03-2023,NETTXN:farfetch,810971.2,0.87,2.9550735e+06,1
16-02-2023,EMItowardsLoanNo00234567,806051.8,0.25,3.2176865e+06,1
16-10-2024,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),565037.75,0.0,8.687919e+06,0
16-11-2023,NETTXN:TICKETBOOKINGYATRA,0.02,574092.5,5.3611595e+06,1
07-06-2024,NETTXN:FLIPKART,1.85,715532.06,6.92782e+06,1
30-05-2023,REVOFNETTXN:1234567890,10.72,696468.0,6.6187535e+06,1
06-05-2024,NETTXN:DARVEYS,792295.06,0.09,5.805684e+06,1
12-04-2024,IMPS/NA/XXX5678/RRN:123400567890/MOBTXN,919.68,212444.72,1.5579904e+07,0
07-03-2023,NETTXN:TICKETBOOKINGAIRINDIA,857901.25,5.24,4.043453e+06,1
28-07-2024,CRYPTOEXCHANGEWAZIRX,14915.05,8.89,1.8043804e+07,0
26-11-2024,EMItowardsLoanNo00234567,4929.69,1882.81,1.7959086e+07,0
25-11-2023,ATMWithdrawal,0.99,640757.4,6.0635275e+06,1
08-07-2023,CASHDEPOSIT,86679.89,0.02,1.8338898e+07,0
30-09-2024,NETTXN:Aug21Sal234TANGOEINDIA,2425.66,312362.5,6.8006895e+06,1
25-02-2023,CRYPTOEXCHANGECOINBASE,25484.68,21645.34,5.3551665e+06,1
13-11-2024,IMPS/NA/XXX5678/RRN:123400567890/MOBTXN,749766.3,0.0,1.2380812e+06,1
14-02-2023,IMPS/NA/XXX5678/RRN:123456789012/MOBTXN,778842.9,38.78,5.387789e+06,1
04-08-2024,PCA:5001234567:123456789012345:AMAZON,3141.22,1321.99,1.6677234e+07,0
14-02-2023,NETTXN:TICKETBOOKINGAIRINDIA,2.26,695055.2,1.0595577e+07,0
18-02-2023,CRYPTOEXCHANGECOINBASE,2032.78,407519.1,6.5744895e+06,1
12-08-2023,FundsTransfertoXX8765/CC001002010123456/MOBTXN,336738.0,5.2,1.340055e+07,0
09-08-2023,PCA:5001234567:1234567891234:LOCALSHOP,283.93,18711.86,1.694224e+07,0
27-03-2023,NETTXN:AJIOLUXE,3098.31,77882.39,1.6190871e+07,0
20-03-2023,PCA:5001234567:123456789012345:AMAZON,114.17,102946.5,1.7791362e+07,0
24-11-2024,PCA:5001234567:1234567891234:LOCALSHOP,157580.06,17.88,1.5006444e+07,0
08-06-2023,NETTXN:AMAZON,8838.89,69201.88,5.5356205e+06,1
25-02-2023,PCA:5001234567:450987650123456:EBAY,217.01,9708.46,1.988672e+07,0
27-06-2023,NETTXN:PAYBILL123456,0.44,666956.7,9.319214e+06,0
25-08-2024,PCA:5001234567:1234567891234:LOCALSHOP,1.4,707321.5,1.0099273e+07,0
19-02-2024,NETTXN:TICKETBOOKINGAIRINDIA,724577.75,44.98,7.397335e+06,1
27-03-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,0.15,502817.2,4.1805128e+06,1
16-02-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,0.58,614098.2,5.3051225e+06,1
12-03-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),81660.04,0.0,1.4844899e+07,0
22-03-2023,NETTXN:TICKETBOOKINGINDIGO,686865.94,0.0,4.5713395e+06,1
18-03-2023,NETTXN:TICKETBOOKINGAIRINDIA,385483.16,1514.3,1.2547023e+07,0
09-01-2024,NETTXN:AJIOLUXE,22962.6,578.88,1.5348186e+07,0
17-02-2023,NETTXN:FLIPKART,724105.1,0.0,5.352391e+06,1
09-03-2023,CRYPTOEXCHANGEWAZIRX,749986.94,0.01,1.0722853e+07,0
30-04-2024,REVOFNETTXN:1234567890,790817.6,18.32,4.649111e+06,1
22-03-2023,CASHDEPOSIT,1.91,627682.4,5.5304165e+06,1
27-11-2023,NETTXN:TICKETBOOKINGAIRINDIA,0.16,677812.2,9.489409e+06,0
01-05-2023,NETTXN:TICKETBOOKINGAIRINDIA,37684.43,11213.03,4.274186e+06,1
10-03-2023,NETTXN:Aug21Sal234TANGOEINDIA,509811.88,1.69,1.3206676e+07,0
15-02-2023,ATMWithdrawal,211287.81,0.08,1.7130478e+07,0
15-12-2024,PCA:5001234567:765432109876543:ZOMATO,110.45,473280.75,1.3972401e+07,0
12-04-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,30485.32,0.58,1.8547338e+07,0
14-03-2023,EMItowardsLoanNo00234567,410.89,617252.44,1.3458125e+07,0
14-03-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),656.31,634787.6,8.096197e+06,1
03-03-2023,PCA:5001234567:567890123456789:BIGBAZAAR,431739.25,328.11,1.0917251e+07,0
17-02-2023,NETTXN:Aug21Sal234TANGOEINDIA,167962.66,8.0,1.5508723e+07,0
11-04-2023,CRYPTOEXCHANGEWAZIRX,3635.6,559276.8,6.81584e+06,1
24-02-2023,NETTXN:TICKETBOOKINGYATRA,0.05,598444.6,5.7004875e+06,1
08-03-2023,NETTXN:Aug21Sal234TANGOEINDIA,4910.49,3502.49,1.5657596e+07,0
24-04-2024,EMItowardsLoanNo00234567,0.87,611442.75,5.396342e+06,1
26-01-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,35633.62,3.81,1.8624356e+07,0
08-12-2023,NETTXN:TICKETBOOKINGAIRINDIA,1.76,392876.9,1.684894e+07,0
08-02-2023,NETTXN:FLIPKART,622776.94,64.9,1.2274342e+07,0
17-03-2023,PCA:5001234567:123456789012345:AMAZON,40848.27,704.6,1.5137233e+07,0
03-11-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,333786.03,0.44,1.3424678e+07,0
19-02-2024,EMItowardsLoanNo00234567,60060.9,10385.85,6.7262155e+06,1
01-01-2024,NETTXN:CASHDEPOSIT,30001.13,0.12,1.7271038e+07,0
