WireReferenceID,SenderInstitution_BIC,BeneficiaryInstitution_BIC,OriginCountry,DestinationCountry,TransferAmount_EUR,CurrencyPair,TransferMessageStandard,KYC_CustomerRiskRating,SanctionScreeningResult,SettlementDuration_Minutes,AML_SuspiciousActivityFlag
SWIFT_W92771,DBSSHKHH,INGBNL2A,FR,DE,5519.41,EUR/AED,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,26.66,0
SWIFT_W91412,HSBCGB2L,UBSWCHZH,DE,SG,867.03,USD/JPY,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,3.83,0
SWIFT_W92353,DBSSHKHH,FABAEADX,FR,DE,115021.59,EUR/GBP,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,163.37,0
SWIFT_W92221,DBSSHKHH,INGBNL2A,CH,DE,146821.67,EUR/INR,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,128.42,1
SWIFT_W91517,HDFCINBB,STANHKHH,AU,DE,25942.38,EUR/USD,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,102.96,0
SWIFT_W92427,DBSSHKHH,INGBNL2A,GB,CH,42709.02,EUR/GBP,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,195.06,0
SWIFT_W92824,HDFCINBB,INGBNL2A,SG,CH,4539.37,EUR/GBP,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,162.86,0
SWIFT_W92839,HSBCGB2L,INGBNL2A,IN,SG,801.24,EUR/GBP,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,0.57,0
SWIFT_W92150,SANTRSMM,UBSWCHZH,AE,AU,1107.60,EUR/CHF,CHAPS_GBP,PEP_Politically_Exposed,Clean_NoHit,12.44,0
SWIFT_W92716,DEUTDEDD,STANHKHH,AU,CA,13360.74,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Clean_NoHit,27.56,0
SWIFT_W92566,DBSSHKHH,BCOPESMM,DE,CH,21862.66,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,95.72,0
