TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000001,AC00498,341.61,12/30/2025,Credit,Tucson,D000494,93.115.61.201,M096,Branch,64,Student,44,1,108.5
TX000002,AC00459,301.77,10/22/2021,Debit,Tucson,D000634,48.31.196.24,M052,Branch,70,Retired,54,1,11222.28
TX000003,AC00439,522.45,10/2/2023 18:57,Credit,New York,D000327,190.164.160.79,M079,Branch,50,Student,125,1,1629.33
TX000004,AC00483,63.53,9/12/2021,Debit,Washington,D000224,200.13.225.150,M016,ATM,45,Student,18,1,882.0
TX000005,AC00403,70.64,5/4/2025,Debit,Seattle,D000055,12.246.170.239,M072,ATM,57,Engineer,131,1,13678.86
TX000006,AC00494,155.44,12/29/2022,Credit,Omaha,D000569,9.230.41.239,M099,Online,79,Retired,90,1,632.89
TX000007,AC00495,364.08,12/15/2025,Credit,San Francisco,D000411,62.152.134.92,M093,Branch,48,Student,85,1,126.33
TX000008,AC00326,254.74,3/28/2024,Debit,Sacramento,D000090,74.58.165.67,M060,ATM,54,Engineer,142,1,11582.15
TX000009,AC00498,219.86,4/28/2025,Credit,San Diego,D000560,109.105.179.186,M099,Online,77,Student,66,1,137.69
TX000010,AC00375,156.62,11/1/2023,Debit,Virginia Beach,D000268,144.228.168.6,M035,ATM,59,Retired,68,1,9984.04
TX000011,AC00487,618.42,1/21/2025,Credit,Seattle,D000464,92.180.81.50,M087,Branch,66,Student,47,1,165.14
TX000012,AC00331,230.4,2/21/2025,Debit,Seattle,D000397,8.244.162.185,M022,ATM,68,Engineer,83,1,11191.54
TX000013,AC00494,577.84,5/16/2023,Credit,Tucson,D000557,114.115.12.20,M093,Branch,69,Student,36,1,118.66
TX000014,AC00462,1153.6,2/15/2024,Debit,Virginia Beach,D000617,109.105.179.186,M016,ATM,39,Student,30,1,154.61
TX000015,AC00382,384.15,3/27/2023,Credit,Indianapolis,D000527,107.248.120.12,M083,Online,75,Engineer,110,1,6030.71
TX000016,AC00494,1198.46,1/7/2023 0:00,Credit,Tucson,D000663,49.10.93.200,M051,Branch,62,Student,32,1,102.4
TX000017,AC00273,367.9,7/22/2024,Debit,Raleigh,D000343,152.140.239.181,M049,Branch,71,Doctor,86,1,13578.16
TX000018,AC00491,264.27,7/13/2024,Debit,Washington,D000640,62.27.235.199,M046,ATM,72,Student,17,1,7920.13
TX000019,AC00499,856.97,3/7/2023,Credit,Virginia Beach,D000650,200.136.146.93,M086,Branch,51,Student,38,1,101.37
TX000020,AC00406,6.63,3/29/2025,Debit,Virginia Beach,D000009,214.32.109.197,M072,ATM,70,Doctor,65,1,14928.25
TX000021,AC00382,24.47,6/2/2020,Debit,Virginia Beach,D000151,143.212.47.226,M078,ATM,76,Doctor,47,1,14961.06
