age,account_type,transaction_type,merchant_category,amount,balance_before,balance_after,transaction_hour,location,device_type,payment_method,is_international,is_fraud,transaction_id,customer_id
49,Credit,Transfer,Groceries,166.76,13580.74,13413.98046875,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100049,CUST_10049
47,Credit,Transfer,Groceries,164.86,10483.02,10318.16015625,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100096,CUST_10096
40,Credit,Payment,Groceries,151.65,8381.55,8229.900390625,10,New York,Mobile App,Debit Card,0,0,TXN_100057,CUST_10057
53,Credit,Transfer,Retail,107.04,15532.9,15425.8603515625,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100006,CUST_10006
43,Checking,Payment,Groceries,97.33,9816.78,9719.4501953125,9,New York,Mobile App,Debit Card,0,0,TXN_100094,CUST_10094
44,Credit,Payment,Groceries,117.28,10603.63,10486.349609375,12,New York,Mobile App,Debit Card,0,0,TXN_100073,CUST_10073
50,Credit,Transfer,Retail,162.41,13773.82,13611.41015625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100074,CUST_10074
45,Credit,Transfer,Retail,224.13,12745.91,12521.7802734375,13,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100080,CUST_10080
44,Credit,Transfer,Groceries,118.16,11343.76,11225.599609375,11,New York,Mobile App,Debit Card,0,0,TXN_100084,CUST_10084
43,Credit,Payment,Groceries,576.39,10435.89,9859.5,11,New York,Mobile App,Debit Card,1,1,TXN_100052,CUST_10052
44,Credit,Transfer,Groceries,136.61,11936.29,11799.6796875,11,New York,Mobile App,Debit Card,0,0,TXN_100011,CUST_10011
46,Credit,Transfer,Groceries,180.73,13598.78,13418.0498046875,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100056,CUST_10056
45,Credit,Transfer,Retail,173.04,11842.67,11669.6298828125,12,New York,Mobile App,Debit Card,0,0,TXN_100044,CUST_10044
44,Credit,Payment,Groceries,137.8,11024.52,10886.7197265625,11,New York,Mobile App,Debit Card,0,0,TXN_100043,CUST_10043
44,Credit,Payment,Groceries,162.48,10095.71,9933.23046875,12,New York,Mobile App,Debit Card,0,0,TXN_100064,CUST_10064
49,Credit,Transfer,Retail,626.78,15439.78,14813.0,13,New York,POS Terminal,UPI / Wallet,1,1,TXN_100061,CUST_10061
50,Savings,Transfer,Retail,159.35,14461.7,14302.349609375,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100047,CUST_10047
42,Credit,Transfer,Groceries,162.82,11712.06,11549.240234375,10,New York,Mobile App,Debit Card,0,0,TXN_100069,CUST_10069
44,Credit,Payment,Groceries,187.09,12043.33,11856.240234375,10,New York,Mobile App,Debit Card,0,0,TXN_100071,CUST_10071
48,Credit,Transfer,Groceries,104.71,12068.46,11963.75,10,New York,Mobile App,Debit Card,0,0,TXN_100089,CUST_10089
51,Credit,Transfer,Retail,122.01,15873.54,15751.5302734375,14,New York,POS Terminal,UPI / Wallet,0,0,TXN_100020,CUST_10020
50,Credit,Transfer,Retail,106.74,13861.97,13755.23046875,10,New York,POS Terminal,UPI / Wallet,0,0,TXN_100095,CUST_10095
42,Checking,Payment,Groceries,119.49,10754.35,10634.8603515625,9,Mumbai,Mobile App,Debit Card,0,0,TXN_100077,CUST_10077
47,Credit,Payment,Groceries,176.82,13027.7,12850.8798828125,12,New York,POS Terminal,Debit Card,0,0,TXN_100086,CUST_10086
43,Checking,Payment,Groceries,113.71,9743.86,9630.150390625,9,Mumbai,Mobile App,Debit Card,0,0,TXN_100090,CUST_10090
47,Credit,Transfer,Retail,180.28,12303.8,12123.51953125,13,New York,POS Terminal,UPI / Wallet,0,0,TXN_100040,CUST_10040
46,Credit,Payment,Groceries,115.14,13283.29,13168.150390625,14,New York,Mobile App,Debit Card,0,0,TXN_100012,CUST_10012
40,Checking,Payment,Groceries,159.26,9019.9,9010.6396484375,10,New York,Mobile App,Debit Card,0,0,TXN_100022,CUST_10022
48,Credit,Transfer,Retail,606.74,12735.6,12128.8603515625,12,New York,Mobile App,UPI / Wallet,1,1,TXN_100075,CUST_10075
43,Credit,Transfer,Groceries,113.39,11977.47,11864.080078125,12,New York,Mobile App,Debit Card,0,0,TXN_100055,CUST_10055
45,Credit,Payment,Groceries,140.33,12122.26,11981.9296875,9,New York,Mobile App,UPI / Wallet,0,0,TXN_100054,CUST_10054
49,Credit,Transfer,Retail,143.94,15182.04,15038.099609375,13,Singapore,POS Terminal,UPI / Wallet,0,0,TXN_100066,CUST_10066
45,Credit,Transfer,Groceries,108.17,12062.48,11954.3095703125,11,New York,Mobile App,Debit Card,0,0,TXN_100058,CUST_10058
44,Credit,Transfer,Retail,118.47,12769.98,12651.509765625,10,New York,Mobile App,UPI / Wallet,0,0,TXN_100013,CUST_10013
42,Credit,Payment,Groceries,127.1,10421.5,10294.400390625,10,New York,Mobile App,Debit Card,0,0,TXN_100030,CUST_10030
47,Credit,Transfer,Retail,700.48,13144.77,12444.2900390625,11,New York,POS Terminal,UPI / Wallet,1,1,TXN_100021,CUST_10021
43,Credit,Transfer,Groceries,141.43,11646.37,11504.9404296875,13,New York,Mobile App,Debit Card,0,0,TXN_100007,CUST_10007
47,Credit,Transfer,Groceries,153.64,12341.68,12188.0400390625,12,New York,Mobile App,UPI / Wallet,0,0,TXN_100079,CUST_10079
43,Credit,Payment,Groceries,129.68,9770.69,9641.009765625,11,Mumbai,Mobile App,Debit Card,0,0,TXN_100016,CUST_10016
47,Credit,Payment,Groceries,137.56,12280.54,12142.98046875,10,New York,POS Terminal,Debit Card,0,0,TXN_100023,CUST_10023
48,Credit,Transfer,Retail,124.68,15411.59,15286.91015625,11,New York,POS Terminal,UPI / Wallet,0,0,TXN_100017,CUST_10017
46,Credit,Payment,Groceries,104.76,10970.91,10866.150390625,12,New York,POS Terminal,UPI / Wallet,0,0,TXN_100070,CUST_10070
46,Credit,Transfer,Groceries,737.21,10902.41,10165.2001953125,11,New York,Mobile App,Debit Card,1,1,TXN_100087,CUST_10087
