date,description,debit,credit,balance,isSuspicious
22-03-2023,NETTXN:farfetch,30084.05,0.00,4282522.50,1
16-10-2024,PCA:5001234567:123456789012345:AMAZON,722714.56,0.00,7307519.50,0
24-03-2023,REVOFNETTXN:1234567890,810971.19,0.00,2955073.50,1
16-02-2023,NETTXN:TICKETBOOKINGAIRINDIA,806051.81,0.00,3217686.50,1
16-10-2024,CRYPTOEXCHANGEWAZIRX,565037.75,0.00,8687919.00,0
16-11-2023,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,0.00,574092.50,5361159.50,1
07-06-2024,NETTXN:AJIOLUXE,0.00,715532.06,6927820.00,1
30-05-2023,NETTXN:TICKETBOOKINGAIRINDIA,696468.00,0.00,6618753.50,1
06-05-2024,FundsTransfertoXX8765/CC001002010123456/MOBTXN,792295.06,0.00,5805684.00,1
12-04-2024,CRYPTOEXCHANGECOINBASE,212444.72,0.00,15579904.00,0
07-03-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),857901.25,0.00,4043453.00,1
28-07-2024,NETTXN:AMAZON,14915.05,0.00,18043804.00,0
26-11-2024,NETTXN:TICKETBOOKINGAIRINDIA,4929.69,0.00,17959086.00,0
25-11-2023,NETTXN:AMAZON,640757.38,0.00,6063527.50,1
08-07-2023,NETTXN:TICKETBOOKINGYATRA,86679.89,0.00,18338898.00,0
30-09-2024,PCA:5001234567:1234567891234:LOCALSHOP,312362.50,0.00,6800689.50,1
25-02-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,25484.68,0.00,5355166.50,1
13-11-2024,NETTXN:AJIOLUXE,749766.31,0.00,1238081.25,1
14-02-2023,CRYPTOEXCHANGECOINBASE,778842.88,0.00,5387789.00,1
04-08-2024,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,3141.22,0.00,16677234.00,0
14-02-2023,NETTXN:TICKETBOOKINGINDIGO,695055.19,0.00,10595577.00,0
18-02-2023,NETTXN:TICKETBOOKINGAIRINDIA,407519.09,0.00,6574489.50,1
12-08-2023,NETTXN:CASHDEPOSIT,336738.00,0.00,13400550.00,0
09-08-2023,PCA:5001234567:675849302948301:MUTUALFUNDS,0.00,18711.86,16942240.00,0
27-03-2023,CRYPTOEXCHANGEWAZIRX,77882.39,0.00,16190871.00,0
20-03-2023,NETTXN:AJIOLUXE,0.00,102946.50,17791362.00,0
24-11-2024,REVOFNETTXN:1234567890,157580.06,0.00,15006444.00,0
08-06-2023,NETTXN:Aug21Sal234TANGOEINDIA,0.00,69201.88,5535620.50,1
25-02-2023,NETTXN:TICKETBOOKINGYATRA,9708.46,0.00,19886720.00,0
27-06-2023,IMPS/RAHULKUMAR/XXX5679/RRN:123456789012,0.00,666956.69,9319214.00,0
25-08-2024,CRYPTOEXCHANGEWAZIRX,707321.50,0.00,10099273.00,0
19-02-2024,CRYPTOEXCHANGEWAZIRX,724577.75,0.00,7397335.00,1
27-03-2023,EMItowardsLoanNo00234567,502817.19,0.00,4180512.75,1
16-02-2023,NETTXN:TICKETBOOKINGAIRINDIA,614098.19,0.00,5305122.50,1
12-03-2023,NETTXN:TICKETBOOKINGYATRA,81660.04,0.00,14844899.00,0
22-03-2023,NETTXN:DARVEYS,686865.94,0.00,4571339.50,1
18-03-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,385483.16,0.00,12547023.00,0
09-01-2024,CRYPTOEXCHANGECOINBASE,22962.60,0.00,15348186.00,0
17-02-2023,PCA:5001234567:765432109876543:ZOMATO,724105.12,0.00,5352391.00,1
09-03-2023,PCA:5001234567:675849302948301:MUTUALFUNDS,749986.94,0.00,10722853.00,0
30-04-2024,NETTXN:CASHDEPOSIT,790817.62,0.00,4649111.00,1
22-03-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),627682.38,0.00,5530416.50,1
27-11-2023,NETTXN:DARVEYS,677812.19,0.00,9489409.00,0
