WireTransferID,OriginatingCountry,BeneficiaryCountry,Currency,TransferAmount,SenderAccountType,KYC_VerificationLevel,PEP_Status,SanctionsScreeningResult,TransactionsInLast24h,StructuringRiskIndex,AML_SuspiciousActivityFlag
SWIFT_00000001,SG,CY,EUR,241096.26,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,1,0.47,0
SWIFT_00000002,CH,US,USD,197592.78,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,10,0.23,0
SWIFT_00000003,SG,GB,SGD,103858.54,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.69,0
SWIFT_00000004,SG,HK,EUR,232628.82,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,3,0.38,0
SWIFT_00000005,GB,RU,INR,28776.12,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,YES,CLEAR,14,0.26,1
SWIFT_00000006,KY,SG,SGD,77603.49,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,1,0.41,1
SWIFT_00000007,GB,SG,GBP,102055.29,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,1,0.92,1
SWIFT_00000008,SG,VG,EUR,31647.36,ESCROW,TIER_1_STANDARD,NO,CLEAR,15,0.72,0
SWIFT_00000009,SG,HK,GBP,170551.29,OFFSHORE_TRUST,TIER_1_STANDARD,YES,CLEAR,13,0.14,1
SWIFT_00000010,US,HK,SGD,177685.52,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,8,0.55,1
SWIFT_00000011,CH,RU,USD,38107.90,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,6,0.76,0
SWIFT_00000012,SG,RU,GBP,18468.72,ESCROW,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,2,0.21,1
SWIFT_00000013,SG,CY,INR,54985.41,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,1,0.50,1
SWIFT_00000014,PA,AE,USD,84526.16,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,11,0.91,1
SWIFT_00000015,GB,US,USD,46365.48,ESCROW,TIER_2_ENHANCED,YES,CLEAR,9,0.88,1
SWIFT_00000016,AE,IN,AED,8325.62,ESCROW,TIER_2_ENHANCED,YES,CLEAR,13,0.41,1
SWIFT_00000017,DE,CY,INR,112940.14,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,7,0.82,0
SWIFT_00000018,IN,IN,AED,203593.07,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.69,0
SWIFT_00000019,CH,AE,SGD,45502.63,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.16,0
SWIFT_00000020,US,GB,EUR,34097.32,ESCROW,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,3,0.65,1
SWIFT_00000021,US,GB,GBP,70538.17,ESCROW,TIER_2_ENHANCED,NO,CLEAR,14,0.80,0
SWIFT_00000022,US,VG,GBP,210844.84,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,10,0.03,1
SWIFT_00000023,US,GB,INR,241609.32,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.74,0
SWIFT_00000024,US,US,EUR,85838.97,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.86,0
SWIFT_00000025,PA,CY,GBP,215776.11,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.36,1
SWIFT_00000026,AE,RU,EUR,61166.72,OFFSHORE_TRUST,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,3,0.16,1
SWIFT_00000027,AE,VG,AED,219417.33,CORPORATE_CURRENT,TIER_2_ENHANCED,YES,CLEAR,14,0.04,1
SWIFT_00000028,KY,SG,USD,142317.40,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,15,0.23,1
SWIFT_00000029,GB,AE,INR,107789.91,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,14,0.69,1
SWIFT_00000030,AE,CY,INR,60686.22,CORPORATE_CURRENT,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,7,0.14,1
SWIFT_00000031,IN,GB,EUR,31214.17,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,3,0.73,0
SWIFT_00000032,US,RU,AED,47748.38,ESCROW,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,5,0.80,1
SWIFT_00000033,GB,CY,USD,97842.79,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,10,0.03,0
SWIFT_00000034,DE,US,AED,175364.26,ESCROW,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,12,0.27,1
SWIFT_00000035,IN,US,GBP,180709.35,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.70,0
SWIFT_00000036,KY,GB,EUR,235504.63,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.63,1
SWIFT_00000037,DE,GB,AED,229006.26,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,15,0.42,1
SWIFT_00000038,US,RU,USD,245015.13,ESCROW,TIER_1_STANDARD,NO,CLEAR,8,0.16,1
SWIFT_00000039,GB,HK,SGD,113356.43,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.34,0
SWIFT_00000040,US,US,GBP,21621.13,ESCROW,TIER_1_STANDARD,NO,CLEAR,9,1.00,0
SWIFT_00000041,GB,IN,USD,101935.17,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,15,0.03,1
SWIFT_00000042,KY,US,INR,174178.94,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,2,0.68,1
SWIFT_00000043,KY,SG,AED,208789.61,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,9,0.75,1
SWIFT_00000044,IN,US,INR,194892.34,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.90,1
SWIFT_00000045,SG,AE,GBP,232730.01,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,13,0.60,1
SWIFT_00000046,CH,IN,AED,54325.86,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,12,0.51,1
SWIFT_00000047,SG,VG,GBP,74820.68,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,12,0.66,1
SWIFT_00000048,PA,IN,USD,124368.33,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,3,0.39,1
SWIFT_00000049,IN,VG,EUR,172575.98,OFFSHORE_TRUST,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,7,0.52,1
SWIFT_00000050,US,HK,USD,123183.32,ESCROW,TIER_1_STANDARD,NO,CLEAR,14,0.82,0
SWIFT_00000051,KY,SG,GBP,86512.06,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.82,1
SWIFT_00000052,IN,SG,SGD,197958.51,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,14,0.12,1
SWIFT_00000053,KY,HK,AED,73378.61,ESCROW,TIER_2_ENHANCED,YES,CLEAR,5,0.91,1
SWIFT_00000054,KY,GB,GBP,158717.21,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,9,0.98,1
SWIFT_00000055,CH,SG,USD,211185.88,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,9,0.02,0
SWIFT_00000056,AE,CY,USD,212802.89,OFFSHORE_TRUST,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,10,0.70,1
SWIFT_00000057,KY,SG,EUR,13881.68,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,3,0.71,1
SWIFT_00000058,GB,RU,AED,249888.33,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.04,1
SWIFT_00000059,AE,GB,INR,235476.06,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,7,0.13,1
SWIFT_00000060,AE,VG,GBP,152164.15,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,7,0.12,1
SWIFT_00000061,IN,CY,AED,12587.50,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,9,0.79,0
SWIFT_00000062,DE,RU,INR,5795.37,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,9,1.00,1
SWIFT_00000063,IN,SG,INR,13515.86,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,13,0.86,1
SWIFT_00000064,SG,AE,GBP,143334.53,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,2,0.48,1
SWIFT_00000065,DE,AE,USD,237166.53,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,6,0.05,0
SWIFT_00000066,CH,GB,AED,192415.23,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,6,0.77,1
SWIFT_00000067,GB,US,EUR,6361.81,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,5,0.20,1
SWIFT_00000068,DE,CY,USD,29949.51,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,2,0.70,0
SWIFT_00000069,PA,US,SGD,143238.04,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,4,0.91,1
SWIFT_00000070,GB,HK,GBP,111748.74,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,5,0.11,1
SWIFT_00000071,CH,VG,INR,50264.26,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.85,0
SWIFT_00000072,DE,RU,SGD,193424.51,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,1,0.61,0
