ApplicantID,EmploymentType,AnnualIncome_USD,CreditScore_FICO,LoanAmount_USD,LoanTerm_Months,DebtToIncome_Ratio,InterestRate_Pct,ExistingLiabilities_Count,HomeOwnership,LoanPurpose,MissedPaymentsLast2Yrs,LoanDefaultRisk
APP_10001,Small_Business_Owner,33263.61,717,20236.27,36,0.39,9.48,3,Mortgage,Home_Improvement,0,0
APP_10002,Salaried_Corporate,116932.74,683,69720.96,24,0.49,12.53,0,Rent,Business_Expansion,0,0
APP_10003,Salaried_Corporate,155394.24,633,100591.72,36,0.49,12.78,3,Rent,Debt_Consolidation,0,0
APP_10004,Small_Business_Owner,79228.04,654,37928.71,36,0.32,12.38,2,Mortgage,Home_Improvement,0,0
APP_10005,Small_Business_Owner,56423.10,817,47192.99,12,0.70,6.30,1,Mortgage,Debt_Consolidation,0,0
APP_10006,Salaried_Corporate,56755.54,655,31374.97,36,0.48,12.79,1,Own_Outright,Medical_Emergency,0,0
APP_10007,Salaried_Corporate,80418.73,802,56983.61,24,0.27,9.25,4,Mortgage,Debt_Consolidation,0,0
APP_10008,Salaried_Corporate,68906.11,663,32804.08,24,0.19,14.48,1,Mortgage,Education_Tuition,0,0
APP_10009,Self_Employed_Professional,80498.04,669,31064.26,36,0.24,11.86,1,Rent,Debt_Consolidation,0,0
APP_10010,Salaried_Corporate,81021.93,695,41893.12,48,0.42,11.44,2,Mortgage,Business_Expansion,0,0
APP_10011,Self_Employed_Professional,47468.32,679,26300.94,36,0.23,12.45,3,Own_Outright,Debt_Consolidation,0,0
APP_10012,Salaried_Corporate,45693.48,629,16727.27,12,0.32,14.48,0,Mortgage,Education_Tuition,1,0
APP_10013,Self_Employed_Professional,58327.31,689,39546.27,36,0.29,11.83,3,Mortgage,Debt_Consolidation,0,0
APP_10014,Small_Business_Owner,81665.45,594,36701.56,24,0.34,15.62,3,Mortgage,Debt_Consolidation,1,1
APP_10015,Government_Public,32802.73,714,20088.39,48,0.51,10.75,1,Mortgage,Education_Tuition,0,0
APP_10016,Salaried_Corporate,59700.91,705,20994.74,60,0.13,10.24,4,Rent,Debt_Consolidation,0,0
APP_10017,Salaried_Corporate,65108.11,737,31837.32,48,0.42,10.48,1,Rent,Medical_Emergency,0,0
APP_10018,Salaried_Corporate,53154.29,658,21087.68,36,0.34,12.54,2,Own_Outright,Auto_Purchase,0,0
APP_10019,Salaried_Corporate,124395.78,738,55135.70,48,0.19,9.83,1,Rent,Home_Improvement,0,0
APP_10020,Salaried_Corporate,115198.77,718,71787.15,36,0.30,9.20,5,Mortgage,Debt_Consolidation,1,0
APP_10021,Salaried_Corporate,79777.90,698,20704.80,48,0.23,10.38,2,Own_Outright,Education_Tuition,0,0
APP_10022,Government_Public,146778.67,819,47234.60,36,0.30,6.35,1,Rent,Medical_Emergency,0,0
APP_10023,Government_Public,98248.70,721,39480.41,36,0.26,10.59,1,Own_Outright,Education_Tuition,0,0
APP_10024,Small_Business_Owner,70287.60,660,23981.81,48,0.14,13.80,2,Employer_Provided,Auto_Purchase,0,0
APP_10025,Salaried_Corporate,53390.11,790,14529.50,48,0.14,8.32,2,Own_Outright,Auto_Purchase,1,0
APP_10026,Small_Business_Owner,55389.07,723,39984.14,36,0.40,9.96,1,Employer_Provided,Medical_Emergency,0,0
APP_10027,Self_Employed_Professional,78529.61,806,20704.89,60,0.19,6.33,3,Mortgage,Debt_Consolidation,0,0
APP_10028,Self_Employed_Professional,55976.84,569,33541.87,36,0.47,16.63,1,Mortgage,Education_Tuition,2,1
APP_10029,Salaried_Corporate,33435.51,670,15577.10,36,0.33,12.26,1,Mortgage,Education_Tuition,0,0
APP_10030,Government_Public,55753.25,671,14742.32,36,0.23,9.41,3,Rent,Auto_Purchase,1,0
APP_10031,Salaried_Corporate,105074.16,567,37569.00,48,0.13,16.53,3,Mortgage,Education_Tuition,2,0
APP_10032,Salaried_Corporate,22000.00,701,4985.45,84,0.13,11.19,1,Mortgage,Debt_Consolidation,0,0
APP_10033,Salaried_Corporate,124414.40,666,27009.66,48,0.11,10.43,2,Employer_Provided,Debt_Consolidation,0,0
APP_10034,Salaried_Corporate,85675.79,560,34376.33,36,0.32,16.45,2,Own_Outright,Debt_Consolidation,4,1
APP_10035,Retired,59546.45,640,40407.87,36,0.52,13.15,1,Mortgage,Medical_Emergency,0,0
APP_10036,Self_Employed_Professional,75315.75,780,32264.01,36,0.38,7.00,0,Mortgage,Home_Improvement,0,0
APP_10037,Government_Public,101976.46,749,55908.10,48,0.29,10.80,1,Rent,Debt_Consolidation,0,0
APP_10038,Retired,67173.19,644,16100.91,84,0.21,13.29,4,Rent,Medical_Emergency,0,0
APP_10039,Self_Employed_Professional,101406.40,642,77775.81,60,0.52,12.62,0,Rent,Debt_Consolidation,0,0
APP_10040,Small_Business_Owner,97039.23,746,36998.50,36,0.17,8.65,0,Mortgage,Home_Improvement,0,0
APP_10041,Government_Public,71597.99,562,20227.85,36,0.24,15.73,1,Own_Outright,Debt_Consolidation,0,0
APP_10042,Salaried_Corporate,40142.04,729,15956.98,36,0.20,9.76,5,Mortgage,Debt_Consolidation,0,0
APP_10043,Salaried_Corporate,63323.36,571,52477.99,36,0.67,16.02,2,Rent,Home_Improvement,2,1
APP_10044,Salaried_Corporate,26407.50,797,15606.80,84,0.40,7.25,2,Rent,Debt_Consolidation,1,0
APP_10045,Self_Employed_Professional,80867.47,733,18980.50,24,0.15,9.41,4,Rent,Home_Improvement,0,0
APP_10046,Small_Business_Owner,54783.03,570,14427.37,48,0.18,15.72,4,Mortgage,Home_Improvement,4,1
APP_10047,Salaried_Corporate,50167.58,665,34309.30,36,0.64,11.83,2,Mortgage,Business_Expansion,0,0
APP_10048,Government_Public,88874.29,711,65923.76,48,0.52,10.44,1,Rent,Debt_Consolidation,1,1
APP_10049,Self_Employed_Professional,37358.32,561,7759.71,60,0.08,17.02,2,Own_Outright,Debt_Consolidation,2,1
APP_10050,Salaried_Corporate,69595.24,687,24751.54,36,0.33,11.00,2,Mortgage,Auto_Purchase,0,0
APP_10051,Small_Business_Owner,56788.44,721,10396.57,36,0.10,10.03,1,Rent,Debt_Consolidation,0,0
APP_10052,Government_Public,61011.28,556,14459.19,12,0.15,15.44,1,Mortgage,Home_Improvement,1,1
APP_10053,Salaried_Corporate,75201.68,738,18534.57,24,0.21,10.40,3,Rent,Auto_Purchase,0,0
APP_10054,Salaried_Corporate,150323.73,682,68552.72,36,0.18,10.18,3,Rent,Debt_Consolidation,0,0
APP_10055,Small_Business_Owner,79167.51,750,12577.07,36,0.08,8.43,1,Mortgage,Business_Expansion,0,0
APP_10056,Salaried_Corporate,121932.41,675,79168.58,36,0.57,12.35,0,Rent,Home_Improvement,0,0
APP_10057,Salaried_Corporate,123990.99,621,53602.12,36,0.18,13.60,2,Mortgage,Auto_Purchase,0,0
APP_10058,Government_Public,93559.79,615,40314.65,24,0.28,14.64,1,Own_Outright,Education_Tuition,2,1
APP_10059,Salaried_Corporate,28860.89,670,23762.84,48,0.38,11.81,1,Employer_Provided,Education_Tuition,0,0
APP_10060,Salaried_Corporate,59406.21,678,22680.10,60,0.21,11.14,1,Rent,Debt_Consolidation,0,0
